name,category,type,district,wgs_lng,wgs_lat,weight
餐饮中餐,catering,餐饮服务;中餐厅;中餐厅,金牛区,103.97151,30.73101,3
何小何,catering,餐饮服务;咖啡厅;咖啡厅,金牛区,103.97408,30.733922,14
V.CAFE,catering,餐饮服务;冷饮店;冷饮店,金牛区,103.972777,30.732768,2
金川老字号烧烤,catering,餐饮服务;中餐厅;特色/地方风味餐厅,金牛区,103.974851,30.734165,2
牛杂火锅·羊肉汤,catering,餐饮服务;中餐厅;火锅店,金牛区,103.981559,30.73297,1
三峡烤鱼,catering,餐饮服务;中餐厅;特色/地方风味餐厅,金牛区,103.981978,30.733326,1
印象奶咖,catering,餐饮服务;冷饮店;冷饮店,金牛区,103.977903,30.73428,1
美心每客,catering,餐饮服务;中餐厅;中餐厅,金牛区,103.992148,30.731287,4
眼镜家常菜(全兴路),catering,餐饮服务;中餐厅;中餐厅,金牛区,104.000023,30.73312,1
周师饭店,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.001312,30.730405,1
蒲志高刀削面馆,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.000427,30.733655,1
紫藤缘茶坊,catering,餐饮服务;茶艺馆;茶艺馆,金牛区,104.012564,30.732015,3
麦派汉堡,catering,餐饮服务;快餐厅;快餐厅,金牛区,104.008374,30.733633,13
何三三,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.008017,30.732715,14
伊金园,catering,餐饮服务;中餐厅;清真菜馆,金牛区,104.009079,30.737956,2
饺面馆,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.008498,30.731842,1
盛香园,catering,餐饮服务;茶艺馆;茶艺馆,金牛区,104.011704,30.731682,3
真味包点,catering,餐饮服务;快餐厅;快餐厅,金牛区,104.010771,30.733642,6
辛肥肠,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.00733,30.738692,2
何三三香辣火锅兔,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.013004,30.732685,1
园林火锅,catering,餐饮服务;中餐厅;火锅店,金牛区,104.010933,30.729584,1
味美轩川菜馆,catering,餐饮服务;中餐厅;四川菜(川菜),金牛区,104.00839,30.734437,2
渝记小面,catering,餐饮服务;中餐厅;四川菜(川菜),金牛区,104.0142,30.735431,14
老麻抄手(盛兴路),catering,餐饮服务;中餐厅;中餐厅,金牛区,104.012256,30.734433,1
红尘香茶坊,catering,餐饮服务;茶艺馆;茶艺馆,金牛区,104.01214,30.738721,1
醉可以柴火鸡(沙西店),catering,餐饮服务;中餐厅;中餐厅,金牛区,104.019464,30.734206,1
百林牛王庙老面馆,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.022248,30.73185,8
凌记食汇坊,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.017747,30.729606,2
曾五哥饭店,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.019238,30.730719,1
兴盛茶楼(金鑫大道),catering,餐饮服务;茶艺馆;茶艺馆,金牛区,104.016816,30.738516,1
渣渣面(金鑫大道),catering,餐饮服务;中餐厅;四川菜(川菜),金牛区,104.01616,30.739093,1
盛发店,catering,餐饮服务;快餐厅;快餐厅,金牛区,104.01414,30.732811,1
大众饭店(府河丽景东北),catering,餐饮服务;中餐厅;中餐厅,金牛区,104.021704,30.734432,1
龙滋园火锅,catering,餐饮服务;中餐厅;火锅店,金牛区,104.026868,30.732995,13
樱花小事茶餐吧(府河星城店),catering,餐饮服务;快餐厅;快餐厅,金牛区,104.025599,30.731991,1
虾米叮叮,catering,餐饮服务;快餐厅;快餐厅,金牛区,104.027254,30.731088,2
撸一吧茶坊,catering,餐饮服务;茶艺馆;茶艺馆,金牛区,104.02733,30.729302,8
川西老面馆,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.028811,30.732002,7
乐山烧烤,catering,餐饮服务;中餐厅;特色/地方风味餐厅,金牛区,104.03314,30.737777,1
友谊中餐馆,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.026122,30.73386,2
大众饭店(金丰路辅路),catering,餐饮服务;中餐厅;中餐厅,金牛区,104.043048,30.733833,1
虾子羊肉粉,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.03484,30.739015,1
胡豆花,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.034986,30.738065,1
多味瓜子糖果店,catering,购物服务;便民商店/便利店;便民商店/便利店|餐饮服务;糕饼店;糕饼店,金牛区,104.049588,30.73565,10
仙草宓(凯德金牛店),catering,餐饮服务;甜品店;甜品店,金牛区,104.052229,30.731867,1
李记隆江猪脚饭,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.049572,30.733509,4
王辣面(川建路),catering,餐饮服务;中餐厅;中餐厅,金牛区,104.047596,30.735125,1
老面孔,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.053475,30.735398,10
富顺县城黄氏豆花饭,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.049606,30.73903,3
客来香民餐,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.049694,30.736801,2
随缘餐厅(川建路),catering,餐饮服务;中餐厅;中餐厅,金牛区,104.048663,30.735183,1
鑫隆饭店(古柏路),catering,餐饮服务;中餐厅;中餐厅,金牛区,104.049753,30.737493,1
乐山翘脚羊肉,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.056131,30.734972,4
南部一家,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.062101,30.72958,3
袁记串串香,catering,餐饮服务;中餐厅;火锅店,金牛区,104.058815,30.730725,10
启明土黄鳝河鲜,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.056339,30.731912,1
洞天酒家(陆家大道),catering,餐饮服务;中餐厅;中餐厅,金牛区,104.062378,30.738365,1
自贡饭店(川建路),catering,餐饮服务;中餐厅;中餐厅,金牛区,104.061772,30.735495,3
盛世蛋糕店,catering,餐饮服务;糕饼店;糕饼店,金牛区,104.059616,30.729834,3
泉水大排档,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.059618,30.733349,1
泉水苑,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.062456,30.733574,1
润泉茶坊,catering,餐饮服务;茶艺馆;茶艺馆,金牛区,104.062543,30.732235,1
嫂子鲜菜馆,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.056103,30.73398,5
洪洪冷锅鱼,catering,餐饮服务;中餐厅;海鲜酒楼,金牛区,104.059665,30.735476,4
李记冒节子肥肠粉(陆家大道),catering,餐饮服务;中餐厅;中餐厅,金牛区,104.062147,30.736108,1
美式代言,catering,餐饮服务;外国餐厅;外国餐厅,金牛区,104.05772,30.731777,1
85度TEA,catering,餐饮服务;冷饮店;冷饮店,金牛区,104.057526,30.730669,4
大众小吃(川建路),catering,餐饮服务;中餐厅;中餐厅,金牛区,104.060506,30.735641,2
灶王茶府,catering,餐饮服务;咖啡厅;咖啡厅,金牛区,104.059916,30.731074,1
