name,category,type,district,wgs_lng,wgs_lat,weight
小象艺术,edu,科教文化服务;美术馆;美术馆,金牛区,103.974072,30.734157,3
成都高新皇冠假日酒店-会议厅,edu,科教文化服务;会展中心;会展中心,金牛区,103.971674,30.731028,1
I2国际私塾,edu,科教文化服务;培训机构;培训机构,金牛区,103.977909,30.73413,3
五粮村幼儿园(建设中),edu,科教文化服务;学校;幼儿园,金牛区,103.992679,30.732208,1
成都千盛文化传播有限公司,edu,科教文化服务;传媒机构;传媒机构,金牛区,103.99853,30.73187,1
领跑艺体,edu,科教文化服务;培训机构;培训机构,金牛区,104.013361,30.732376,11
成都市金牛区美乐思幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.008262,30.732198,1
美家教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.007596,30.738804,2
童画镇文艺工作室,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.009292,30.737883,1
成都七中万达学校,edu,科教文化服务;学校;中学,金牛区,104.016897,30.733264,1
成都铁中府河校区,edu,科教文化服务;学校;中学,金牛区,104.024108,30.729909,1
优博智胜教育中心,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.024552,30.731148,2
成都斯玛特艺术幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.029219,30.731765,1
趣佳优教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.028887,30.730147,2
大师教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.025127,30.732808,1
斯马特艺术幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.027636,30.731236,2
四川省景观造型艺术研究所,edu,科教文化服务;科研机构;科研机构,金牛区,104.027946,30.734404,1
假桥小学幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.037203,30.737996,1
顺邦文化传播,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.046842,30.730044,2
四川星蜀漫文化传播有限公司,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.047127,30.731498,1
金建小学校,edu,科教文化服务;学校;小学,金牛区,104.051553,30.732935,1
戴氏精品堂学校(古柏路),edu,科教文化服务;培训机构;培训机构,金牛区,104.049358,30.738236,1
成都建筑学校,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.052445,30.731796,1
戴氏教育(成彭立交分部),edu,科教文化服务;培训机构;培训机构,金牛区,104.044886,30.734194,1
沙河源街道川建社区图书阅览室,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.05146,30.734542,1
兴义镇美术馆,edu,科教文化服务;美术馆;美术馆,金牛区,104.045996,30.731238,1
沙河源街道社区市民学校,edu,科教文化服务;学校;学校,金牛区,104.056154,30.733583,2
泉水路小学校,edu,科教文化服务;学校;小学,金牛区,104.060983,30.730598,1
交大智能盛梅幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.053733,30.734445,1
乖乖双语幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.060115,30.736106,1
新思维学校(泉水分校),edu,科教文化服务;培训机构;培训机构,金牛区,104.059618,30.733237,1
单石桥小学,edu,科教文化服务;学校;小学,金牛区,104.068664,30.735672,2
四川省陆上运动学校,edu,科教文化服务;学校;职业技术学校,金牛区,104.089131,30.733729,1
开心智能幼儿园(蜀陵路),edu,科教文化服务;学校;幼儿园,成华区,104.109862,30.731101,1
乐通教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.105754,30.735187,1
欧普空间美学,edu,科教文化服务;培训机构;培训机构,金牛区,104.110757,30.738245,1
成都市红花实验学校,edu,科教文化服务;学校;学校,成华区,104.119589,30.737655,1
成都市成华区青龙和谐学校,edu,科教文化服务;学校;学校,成华区,104.115423,30.732732,2
熊猫路小学(熊猫大道),edu,科教文化服务;学校;小学,成华区,104.135575,30.729827,1
日本大学成都大熊猫研究所,edu,科教文化服务;科研机构;科研机构,成华区,104.141588,30.737041,7
成都大熊猫繁育研究基地办公楼,edu,科教文化服务;科研机构;科研机构,成华区,104.142615,30.736292,1
成都大熊猫繁育研究基地-蝴蝶馆,edu,科教文化服务;展览馆;展览馆,成华区,104.14312,30.735315,1
大熊猫博物馆,edu,科教文化服务;博物馆;博物馆|科教文化服务;展览馆;展览馆,成华区,104.14395,30.735987,1
成外附小幼稚园,edu,科教文化服务;学校;幼儿园,金牛区,103.97282,30.728686,4
国际私塾,edu,科教文化服务;培训机构;培训机构,金牛区,103.979251,30.723068,24
鹰凡高尔夫体育文化传播有限公司,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,103.977175,30.725226,1
成都快乐你我他文化传播有限公司,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,103.982547,30.721901,1
成都国际学校,edu,科教文化服务;学校;中学,金牛区,103.974777,30.727206,2
金苹果中海国际社区幼稚园,edu,科教文化服务;学校;幼儿园,金牛区,103.975943,30.722139,1
星瑞美丽华酒店-会议厅,edu,科教文化服务;会展中心;会展中心,金牛区,103.976607,30.726427,1
希萌沙画艺术工作室,edu,科教文化服务;培训机构;培训机构,金牛区,103.977914,30.720138,2
名师培优教育,edu,科教文化服务;培训机构;培训机构,金牛区,103.9796,30.720243,1
成都市七彩乐教育中心,edu,科教文化服务;培训机构;培训机构,金牛区,103.974297,30.722948,1
成都铁路技工学校,edu,科教文化服务;学校;职业技术学校,金牛区,103.986856,30.725513,4
成博文武学校,edu,科教文化服务;学校;学校,金牛区,103.986513,30.722293,1
新东方烹饪学校,edu,科教文化服务;学校;职业技术学校,金牛区,103.9876,30.723072,2
成都伟特电气研究所,edu,科教文化服务;科研机构;科研机构,金牛区,103.991504,30.721218,1
成都艾迪康医学检测实验室,edu,科教文化服务;科研机构;科研机构,金牛区,103.987744,30.721599,1
金牛中学,edu,科教文化服务;学校;中学,金牛区,104.001292,30.727281,1
金泉小学校,edu,科教文化服务;学校;小学,金牛区,104.001892,30.726077,2
金牛区双何幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,103.995168,30.724361,1
成都衢上文化传播有限公司,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.010551,30.722508,1
浩浩教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.005444,30.724385,4
易园园林博物馆,edu,科教文化服务;博物馆;博物馆,金牛区,104.012531,30.720309,1
乐知书院,edu,科教文化服务;培训机构;培训机构,金牛区,104.011296,30.719785,2
和悦艺术馆,edu,科教文化服务;展览馆;展览馆,金牛区,104.004203,30.721331,1
星高艺艺术培训学校,edu,科教文化服务;培训机构;培训机构,金牛区,104.00526,30.725773,1
青杠社区综合文化活动室,edu,科教文化服务;文化宫;文化宫,金牛区,104.022186,30.728387,1
四川电影电视学院金牛校区,edu,科教文化服务;学校;高等院校,金牛区,104.022154,30.723842,1
人民北路小学·华侨城校区,edu,科教文化服务;学校;小学,金牛区,104.022334,30.722142,2
四川师范大学电影电视学院,edu,科教文化服务;学校;高等院校,金牛区,104.02223,30.725941,1
金苹果华侨城幼稚园,edu,科教文化服务;学校;幼儿园,金牛区,104.021049,30.720288,1
瓦子林幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.013739,30.726809,2
四川电影电视学院(金牛校区)化装系,edu,科教文化服务;学校;高等院校,金牛区,104.021068,30.72139,2
四川电影电视学院金牛校区-图书馆,edu,科教文化服务;图书馆;图书馆,金牛区,104.0207,30.72259,1
四川省变频自动化系统技术研究所,edu,科教文化服务;科研机构;科研机构,金牛区,104.015956,30.725458,1
雅生双语托管,edu,科教文化服务;培训机构;培训机构,金牛区,104.030799,30.72069,3
四川电影电视学院金牛校区(东北门),edu,科教文化服务;学校;高等院校|通行设施;临街院门;临街院门,金牛区,104.023797,30.726605,1
武道联盟,edu,体育休闲服务;运动场馆;运动场所|科教文化服务;培训机构;培训机构,金牛区,104.026747,30.729211,3
