name,category,type,district,wgs_lng,wgs_lat,weight
中国银行金惠家,finance,金融保险服务;银行相关;银行相关,金牛区,103.974656,30.734254,5
中国民生银行24小时自助银行(百草路东),finance,金融保险服务;自动提款机;中国民生银行ATM,金牛区,103.977993,30.734226,1
中国工商银行(盛兴路分理处),finance,金融保险服务;银行;中国工商银行,金牛区,104.010684,30.733483,2
中国建设银行24小时自助银行(盛金路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,104.013169,30.732197,1
中国邮政储蓄银行(府河星城支行),finance,金融保险服务;银行;中国邮政储蓄银行,金牛区,104.022842,30.731164,2
成都银行24小时自助银行(盛安街),finance,金融保险服务;自动提款机;自动提款机,金牛区,104.016536,30.733233,1
兴业银行ATM(府河苑横路),finance,金融保险服务;自动提款机;兴业银行ATM,金牛区,104.026094,30.732831,2
中国建设银行ATM(洞两公路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,104.041155,30.739145,1
中国建设银行ATM(川建路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,104.051912,30.735178,3
成都银行(量力支行),finance,金融保险服务;银行;银行,金牛区,104.046914,30.729985,5
中国工商银行24小时自助银行,finance,金融保险服务;自动提款机;中国工商银行ATM,金牛区,104.05231,30.729687,1
成都农商银行(钢材城支行),finance,金融保险服务;银行;农村商业银行,金牛区,104.047128,30.731591,2
中国建设银行ATM(朗润路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,104.059566,30.729688,2
成都农商银行(友联分理处),finance,金融保险服务;银行;农村商业银行,金牛区,104.056133,30.734807,2
华夏银行24小时自助银行(朗润路),finance,金融保险服务;自动提款机;华夏银行ATM,金牛区,104.059634,30.733899,1
中国银行ATM(熊猫大道),finance,金融保险服务;自动提款机;中国银行ATM,成华区,104.144019,30.735112,1
24h自助银行服务,finance,金融保险服务;自动提款机;自动提款机,金牛区,103.978718,30.723262,15
中国建设银行24小时自助银行(土龙路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,103.980247,30.720465,1
中国银行(中海国际社区支行),finance,金融保险服务;银行;中国银行,金牛区,103.974324,30.726406,2
中国民生银行(成都中海国际社区支行),finance,金融保险服务;银行;中国民生银行,金牛区,103.975625,30.719692,2
中国建设银行24小时自助银行(蓝岸街),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,103.977606,30.720026,1
中信银行(成都西区支行),finance,金融保险服务;银行;中信银行,金牛区,103.975471,30.726869,2
中国建设银行24小时自助银行(星瑞美丽华酒店东南),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,103.976664,30.7263,1
中国建设银行ATM(金科中路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,104.0011,30.721606,1
中国邮政储蓄银行24小时自助银行(金周路),finance,金融保险服务;自动提款机;中国邮政储蓄银行ATM,金牛区,103.999074,30.726168,1
成都农商银行(金泉支行土桥分理处),finance,金融保险服务;银行;农村商业银行,金牛区,104.008534,30.722274,2
中国银行ATM(西华大道),finance,金融保险服务;自动提款机;中国银行ATM,金牛区,104.026998,30.722787,1
南充市商业银行ATM(北三环路一段辅路),finance,金融保险服务;自动提款机;自动提款机,金牛区,104.032902,30.722315,1
中国民生银行24小时自助银行(华侨城·天鹅堡西北),finance,金融保险服务;自动提款机;中国民生银行ATM,金牛区,104.025824,30.723901,1
24自助银行服务,finance,金融保险服务;自动提款机;自动提款机,金牛区,104.04101,30.719855,17
中国建设银行ATM,finance,金融保险服务;自动提款机;自动提款机,金牛区,104.035076,30.722452,2
中国建设银行24小时自助银行(新泉路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,104.04481,30.71965,1
中国建设银行24小时自助银行(中环路洞子口路段),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,104.050586,30.72528,1
24h自助银行服务,finance,金融保险服务;自动提款机;自动提款机,金牛区,104.055651,30.724088,4
中国农业银行(成都洞子口支行),finance,金融保险服务;银行;中国农业银行,金牛区,104.058657,30.724093,2
中国光大银行ATM(福宁路),finance,金融保险服务;自动提款机;中国光大银行ATM,金牛区,104.057893,30.71932,2
中国建设银行ATM(泉水东路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,104.059381,30.726341,1
中国工商银行(成都王贾路支行),finance,金融保险服务;银行;中国工商银行,金牛区,104.066124,30.720651,2
华夏银行24小时自助银行(王贾路),finance,金融保险服务;自动提款机;华夏银行ATM,金牛区,104.066403,30.722371,1
中国民生银行(成都红星美凯龙小微支行),finance,金融保险服务;银行;中国民生银行,金牛区,104.074995,30.72337,2
24小时自助银行服务,finance,金融保险服务;自动提款机;自动提款机,成华区,104.105166,30.725323,3
中国建设银行ATM(两河西三路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,103.978611,30.718323,1
中国建设银行24小时自助银行(两河西二路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,103.981968,30.715421,1
成都银行24小时自助银行(两河路),finance,金融保险服务;自动提款机;自动提款机,金牛区,103.977377,30.710727,1
中国银行(成都黄金路支行),finance,金融保险服务;银行;中国银行,金牛区,103.98943,30.711525,6
中国工商银行(成都高新西部园区支行),finance,金融保险服务;银行;中国工商银行,金牛区,103.991834,30.715382,2
成都银行(西延线支行),finance,金融保险服务;银行;银行,金牛区,103.987686,30.71793,4
华夏银行ATM(百仁安盛北),finance,金融保险服务;自动提款机;华夏银行ATM,金牛区,103.990932,30.711011,2
中国建设银行ATM(金科苑路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,103.985234,30.714141,1
24小时自助银行服务,finance,金融保险服务;自动提款机;自动提款机,金牛区,103.997356,30.709724,4
中国农业银行(成都蜀西支行),finance,金融保险服务;银行;中国农业银行,金牛区,103.994,30.711962,2
中国建设银行ATM,finance,金融保险服务;自动提款机;自动提款机,金牛区,104.002174,30.711714,2
中国建设银行ATM(科兴南路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,103.998123,30.714496,1
