name,category,type,district,wgs_lng,wgs_lat,weight
高新西区财政局,government,政府机构及社会团体;政府机关;区县级政府及事业单位,金牛区,103.973566,30.732369,3
郫县犀浦镇犀牛社区委员会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位|政府机构及社会团体;政府机关;区县级政府及事业单位,金牛区,103.975611,30.734406,1
五粮村村民委员会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,103.982701,30.732499,2
涧漕社区居委会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,103.999903,30.732595,5
兴盛世家社区居委会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,104.013242,30.732385,2
涧漕河村治安执勤点,government,政府机构及社会团体;公检法机构;社会治安机构,金牛区,104.004381,30.735716,1
社区劳动保障工作站,government,政府机构及社会团体;政府机关;政府机关相关,金牛区,104.019157,30.732718,6
西华街道办事处(府河苑横路),government,政府机构及社会团体;政府机关;乡镇级政府及事业单位,金牛区,104.023465,30.730449,2
友联社区居委会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,104.041903,30.736298,2
沙河源街道踏水桥社区居民委员会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,104.041541,30.738454,1
沙河源街道川建社区居民委员会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,104.051746,30.734598,1
沙河源市场监督管理所,government,政府机构及社会团体;政府机关;乡镇级政府及事业单位,金牛区,104.056137,30.733605,3
陆家桥社区警务室,government,政府机构及社会团体;公检法机构;社会治安机构,金牛区,104.062042,30.735501,3
凤凰山派出所单石桥小学警务室,government,政府机构及社会团体;公检法机构;公安警察,金牛区,104.06862,30.735677,1
四川省都江堰东风渠管理处,government,政府机构及社会团体;政府机关;政府机关相关,成华区,104.110729,30.730109,3
成华区青龙街道石岭社区居委会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,成华区,104.124088,30.738947,1
青龙街道办城市福利院,government,政府机构及社会团体;社会团体;慈善机构,成华区,104.138891,30.734062,4
熊猫基地警务室,government,政府机构及社会团体;公检法机构;公安警察,成华区,104.14407,30.735206,1
成都高新区合作街道市民服务中心,government,政府机构及社会团体;政府机关;政府机关相关,金牛区,103.972143,30.729113,4
高新公安分局西区派出所校园警务室,government,政府机构及社会团体;公检法机构;公安警察,金牛区,103.973516,30.728018,1
金牛区经济科技和知识产权局,government,政府机构及社会团体;政府机关;区县级政府及事业单位,金牛区,103.983674,30.721472,4
成都市轻微道路交通事故快速处理金牛区服务中心,government,政府机构及社会团体;交通车辆管理;交通管理机构,金牛区,103.992947,30.721319,1
金泉街道互助社区居委会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,103.987815,30.725003,2
互助村村委会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,103.990974,30.723775,1
土桥社区居委会(金周路),government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,103.999304,30.726254,4
金牛区人民法院金泉人民法庭,government,政府机构及社会团体;公检法机构;法院,金牛区,103.997505,30.727173,1
高科工商所,government,政府机构及社会团体;工商税务机构;工商部门,金牛区,104.004725,30.724665,8
金牛社区居委会(金青路),government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,104.011194,30.725501,4
青杠社区居委会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,104.022188,30.728382,6
金泉派出所瓦子村警务室,government,政府机构及社会团体;公检法机构;社会治安机构,金牛区,104.015882,30.728074,1
金牛区综合应急救援大队,government,政府机构及社会团体;政府机关;区县级政府及事业单位,金牛区,104.040648,30.720781,3
沙河源派出所流动人口办证处,government,政府机构及社会团体;公检法机构;社会治安机构,金牛区,104.047553,30.723304,3
沙河源派出所,government,政府机构及社会团体;公检法机构;公安警察,金牛区,104.048994,30.726962,3
沙河源派出所沙河源小学警务室,government,政府机构及社会团体;公检法机构;公安警察,金牛区,104.052443,30.72396,1
新桥社区治保会巡逻队,government,政府机构及社会团体;公检法机构;社会治安机构,金牛区,104.044631,30.719984,5
泉水社区微型消防站,government,政府机构及社会团体;公检法机构;消防机关,金牛区,104.061895,30.725513,1
汇泽路社区微型消防站,government,政府机构及社会团体;公检法机构;消防机关,金牛区,104.059514,30.729362,1
金韦社区居委会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,104.077474,30.720278,13
凤凰山市场监督管理所,government,政府机构及社会团体;政府机关;乡镇级政府及事业单位,金牛区,104.075179,30.723336,1
成都赖家店接济分流中心,government,政府机构及社会团体;社会团体;慈善机构,金牛区,104.085251,30.724958,1
凤翔社区警务室,government,政府机构及社会团体;公检法机构;公安警察,金牛区,104.095642,30.726097,1
中共白莲社区支部委员会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,成华区,104.10801,30.728781,3
白莲池社区居委会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,成华区,104.120895,30.724418,3
都江堰东风渠管理处成华管理站,government,政府机构及社会团体;政府机关;政府机关相关,成华区,104.129373,30.722236,1
一里塘社区居委会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,成华区,104.13439,30.727879,4
和成社区居委会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,成华区,104.152153,30.722881,3
北郊风景区管理服务中心,government,政府机构及社会团体;政府机关;政府机关相关,成华区,104.154913,30.722741,2
何家社区居委会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,103.973033,30.718023,3
金泉街道办事处,government,政府机构及社会团体;政府机关;乡镇级政府及事业单位,金牛区,103.978275,30.711107,5
四川省水环境监测中心,government,政府机构及社会团体;政府机关;省直辖市级政府及事业单位,金牛区,103.987594,30.719472,3
四川省民族宗教事务委员会,government,政府机构及社会团体;政府机关;省直辖市级政府及事业单位,金牛区,103.991101,30.713498,2
金泉街道高家社区治保委员会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,103.992957,30.70988,2
金科苑社区居委会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,103.985866,30.712539,2
金泉街道迎宾路社区居委会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,104.002981,30.715632,1
