name,category,type,district,wgs_lng,wgs_lat,weight
顶新造型,life,生活服务;美容美发店;美容美发店,金牛区,103.974324,30.733963,12
万科城售楼部,life,生活服务;生活服务场所;生活服务场所,金牛区,103.972445,30.732785,2
绚诺soho(百草路店),life,生活服务;美容美发店;美容美发店,金牛区,103.976587,30.734743,1
玛丽艳千年古方熏蒸养生馆(林桐店),life,生活服务;美容美发店;美容美发店,金牛区,103.975983,30.733862,1
唐三姐换拉链,life,生活服务;生活服务场所;生活服务场所,金牛区,103.98206,30.732985,2
深粤装饰,life,生活服务;生活服务场所;生活服务场所,金牛区,103.978306,30.733322,1
衣卫士洗衣(新里派克公馆店),life,生活服务;洗衣店;洗衣店,金牛区,103.976828,30.730894,1
tt造型,life,生活服务;生活服务场所;生活服务场所,金牛区,103.991246,30.730574,5
举手之劳·盲人按摩,life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,103.984639,30.733895,1
蜀东水站,life,生活服务;生活服务场所;生活服务场所,金牛区,104.000282,30.733389,4
国通快递,life,生活服务;物流速递;物流速递,金牛区,104.001066,30.734574,3
工字白铁加工,life,生活服务;生活服务场所;生活服务场所,金牛区,104.001778,30.735813,1
电脑雕刻喷砂,life,生活服务;生活服务场所;生活服务场所,金牛区,103.997694,30.733192,1
鼎盛雕刻,life,购物服务;家居建材市场;建材五金市场|生活服务;生活服务场所;生活服务场所,金牛区,103.996066,30.73483,1
小邓专业维修(全兴路),life,生活服务;维修站点;维修站点,金牛区,104.002519,30.736911,1
古尚丽辰,life,生活服务;美容美发店;美容美发店,金牛区,104.008581,30.733191,40
蜂巢快递,life,生活服务;生活服务场所;生活服务场所,金牛区,104.011468,30.73442,5
廖记榨油房,life,生活服务;生活服务场所;生活服务场所,金牛区,104.012295,30.732122,8
蜀安驾校,life,生活服务;生活服务场所;生活服务场所,金牛区,104.0138,30.735426,11
公交驾校报名点(侯家桥二街),life,生活服务;生活服务场所;生活服务场所,金牛区,104.007736,30.738704,1
成都市318信箱,life,生活服务;生活服务场所;生活服务场所,金牛区,104.005302,30.730544,1
快递铺,life,生活服务;生活服务场所;生活服务场所,金牛区,104.013371,30.733825,3
茗艺造型(金鑫大道),life,生活服务;美容美发店;美容美发店,金牛区,104.019283,30.734332,1
中铁现代物流(成都配送中心),life,生活服务;物流速递;物流速递,金牛区,104.01941,30.735876,1
小吴机械加工,life,生活服务;生活服务场所;生活服务场所,金牛区,104.01809,30.736458,2
伟中机械加工,life,生活服务;生活服务场所;生活服务场所,金牛区,104.020101,30.732729,1
专业按摩(金芙蓉大道),life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.021826,30.7345,2
蓝光矿泉水,life,生活服务;生活服务场所;生活服务场所,金牛区,104.020163,30.737743,2
子云美发,life,生活服务;美容美发店;美容美发店,金牛区,104.01648,30.738539,6
爱尚美甲,life,生活服务;美容美发店;美容美发店,金牛区,104.023021,30.731217,7
红光红旗配送中心,life,生活服务;物流速递;物流速递,金牛区,104.01913,30.729948,1
永鑫焊接,life,生活服务;生活服务场所;生活服务场所,金牛区,104.016448,30.728873,14
成都沃特供水机械租赁公司,life,生活服务;生活服务场所;生活服务场所,金牛区,104.021583,30.730008,1
东林电脑维修,life,生活服务;维修站点;维修站点,金牛区,104.028262,30.734452,2
艾诗造型,life,生活服务;美容美发店;美容美发店,金牛区,104.026317,30.731787,31
泊雅诗美容美体养生SPA馆,life,生活服务;美容美发店;美容美发店,金牛区,104.029536,30.730884,1
尖点美发,life,生活服务;生活服务场所;生活服务场所,金牛区,104.028023,30.730658,1
锦尚发艺(府河星城馨苑东),life,生活服务;美容美发店;美容美发店,金牛区,104.030552,30.729882,1
四川浩天驾校招生处,life,生活服务;生活服务场所;生活服务场所,金牛区,104.033436,30.737869,2
五州货运,life,生活服务;物流速递;物流速递,金牛区,104.03663,30.736305,17
华西集团有限公司租赁分公司第一租赁站,life,生活服务;生活服务场所;生活服务场所,金牛区,104.041604,30.732877,1
收废品,life,生活服务;生活服务场所;生活服务场所,金牛区,104.043072,30.733795,2
震洪印务,life,生活服务;生活服务场所;生活服务场所,金牛区,104.034565,30.738234,4
精修电动车,life,生活服务;维修站点;维修站点,金牛区,104.04102,30.739256,2
宏久调色中心,life,生活服务;生活服务场所;生活服务场所,金牛区,104.047772,30.735122,4
三山水业,life,生活服务;生活服务场所;生活服务场所,金牛区,104.050495,30.736422,45
尚龙商务,life,生活服务;生活服务场所;生活服务场所,金牛区,104.046494,30.730471,19
渝川通物流,life,生活服务;物流速递;物流速递,金牛区,104.0462,30.737901,2
成都量力钢材物流中心(古柏路),life,生活服务;物流速递;物流速递,金牛区,104.050033,30.729601,1
付妹美发,life,生活服务;美容美发店;美容美发店,金牛区,104.049646,30.733747,2
婉香如玉,life,生活服务;美容美发店;美容美发店,金牛区,104.059504,30.734156,6
收废铁,life,生活服务;生活服务场所;生活服务场所,金牛区,104.058643,30.735418,4
富桥靓丽堂,life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.056132,30.734081,4
韵达快递,life,生活服务;物流速递;物流速递,金牛区,104.062201,30.735724,18
东邻造型,life,生活服务;美容美发店;美容美发店,金牛区,104.060482,30.736643,2
汗蒸养生,life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.061052,30.732941,1
成都量力钢材物流中心(泉水路),life,生活服务;物流速递;物流速递,金牛区,104.054499,30.734405,1
长城驾校报名处(嘉泽路),life,生活服务;生活服务场所;生活服务场所,金牛区,104.059087,30.73074,1
路军托运,life,生活服务;物流速递;物流速递,金牛区,104.057068,30.738636,1
颐身缘,life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.06211,30.730316,3
合兴激光切割加工,life,生活服务;生活服务场所;生活服务场所,金牛区,104.055079,30.729944,1
沙河源怡宝店,life,生活服务;生活服务场所;生活服务场所,金牛区,104.062446,30.739225,1
长城宽带,life,生活服务;电讯营业厅;电讯营业厅,金牛区,104.054816,30.732372,1
国家电网(洞子口供电营业厅),life,生活服务;电力营业厅;电力营业厅,金牛区,104.056938,30.735852,1
老喻氧电焊,life,生活服务;生活服务场所;生活服务场所,金牛区,104.067522,30.732619,2
乡林涵碧天下接待中心,life,生活服务;生活服务场所;生活服务场所,金牛区,104.06976,30.735942,1
金阳光货运,life,生活服务;物流速递;物流速递,金牛区,104.067545,30.730775,10
老张焊接,life,生活服务;生活服务场所;生活服务场所,金牛区,104.064719,30.738205,3
万佳货运,life,生活服务;物流速递;物流速递,成华区,104.10147,30.729575,23
友联货运,life,生活服务;物流速递;物流速递,成华区,104.101475,30.731443,2
佳驰航空票务,life,生活服务;售票处;售票处,金牛区,104.097632,30.729451,3
小朱理发,life,生活服务;美容美发店;美容美发店,金牛区,104.102725,30.736228,1
中国福利彩票,life,生活服务;彩票彩券销售点;彩票彩券销售点,金牛区,104.106031,30.735324,3
联宜加工房,life,生活服务;生活服务场所;生活服务场所,金牛区,104.108082,30.734846,2
日益通速递,life,生活服务;生活服务场所;生活服务场所,金牛区,104.107821,30.733022,3
棉被加工,life,生活服务;生活服务场所;生活服务场所,成华区,104.106553,30.73177,65
中国福利彩票,life,生活服务;彩票彩券销售点;彩票彩券销售点,金牛区,104.112787,30.733184,2
艺剪缘美发(外北蜀陵路),life,生活服务;美容美发店;美容美发店,成华区,104.111345,30.72987,1
王群理发店,life,生活服务;生活服务场所;生活服务场所,金牛区,104.109351,30.736425,2
天回镇石油液化气配送点第一联络点,life,生活服务;生活服务场所;生活服务场所,金牛区,104.104111,30.735492,1
鑫家美艺,life,生活服务;生活服务场所;生活服务场所,成华区,104.120133,30.738205,12
随意修理门市,life,生活服务;维修站点;维修站点,成华区,104.11769,30.737187,2
巧剪刀理发店,life,生活服务;生活服务场所;生活服务场所,成华区,104.122895,30.739339,1
福利彩票,life,生活服务;彩票彩券销售点;彩票彩券销售点,金牛区,104.114922,30.734728,1
众贯建材开票处,life,生活服务;生活服务场所;生活服务场所,成华区,104.13051,30.732994,1
嘉丰建材仓储中心,life,生活服务;物流速递;物流仓储场地,成华区,104.129831,30.72955,2
成华区石岭公墓业务接洽室,life,生活服务;生活服务场所;生活服务场所,成华区,104.124974,30.739349,1
黄祥物业,life,生活服务;生活服务场所;生活服务场所,成华区,104.129594,30.730848,1
俊菱物流,life,生活服务;物流速递;物流速递,成华区,104.128554,30.730079,1
景区直通车,life,生活服务;生活服务场所;生活服务场所,成华区,104.143559,30.735222,5
中海社区党群服务中心,life,生活服务;生活服务场所;生活服务场所,金牛区,103.972191,30.728963,1
纤足坊,life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,103.977592,30.722412,137
天天快递(精城国际西北),life,生活服务;物流速递;物流速递,金牛区,103.98252,30.723231,1
卡尼造型(绿茵街),life,生活服务;美容美发店;美容美发店,金牛区,103.973952,30.726733,1
旌鸿快运,life,生活服务;物流速递;物流速递,金牛区,103.990459,30.723327,7
蓉儿理发,life,生活服务;美容美发店;美容美发店,金牛区,103.988367,30.722767,3
一方人图文快印,life,生活服务;生活服务场所;生活服务场所,金牛区,103.98603,30.722198,7
华安驾校报名咨询大厅,life,生活服务;生活服务场所;生活服务场所,金牛区,103.985678,30.726099,1
艾珀耐特,life,生活服务;生活服务场所;生活服务场所,金牛区,103.989623,30.72048,5
锦桥广告,life,生活服务;生活服务场所;生活服务场所,金牛区,103.984284,30.721561,1
壹剪发艺,life,生活服务;美容美发店;美容美发店,金牛区,103.999458,30.724758,12
美容美发剪直染烫发,life,生活服务;美容美发店;美容美发店,金牛区,103.996806,30.723878,1
蓝领广告设计,life,生活服务;生活服务场所;生活服务场所,金牛区,103.995597,30.724821,4
收废品,life,生活服务;生活服务场所;生活服务场所,金牛区,103.99982,30.721674,3
保利地产,life,生活服务;生活服务场所;生活服务场所,金牛区,104.001292,30.727281,1
罗亚方舟,life,生活服务;生活服务场所;生活服务场所,金牛区,103.997493,30.720673,1
佳鑫图文,life,生活服务;生活服务场所;生活服务场所,金牛区,104.003399,30.723451,5
富金升石材工艺,life,生活服务;生活服务场所;生活服务场所,金牛区,103.996301,30.72948,1
玖劲科技,life,生活服务;生活服务场所;生活服务场所,金牛区,104.003185,30.719525,3
静逸堂功夫肩颈(金牛派克公馆店),life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,103.994034,30.729513,1
中国电信(金科北路营业厅),life,生活服务;电讯营业厅;中国电信营业厅,金牛区,104.002232,30.722795,1
东原·亲亲里,life,商务住宅;住宅区;住宅小区|生活服务;生活服务场所;生活服务场所,金牛区,104.001444,30.723754,1
西瓜酱洗护,life,生活服务;洗衣店;洗衣店,金牛区,103.996171,30.721279,1
菜鸟驿站(正成拉菲3栋1单元102号),life,生活服务;物流速递;物流速递,金牛区,103.995838,30.722641,1
吴师理发,life,生活服务;生活服务场所;生活服务场所,金牛区,104.011306,30.725216,4
骥马雕刻,life,生活服务;生活服务场所;生活服务场所,金牛区,104.006482,30.725514,2
金桥社区便民服务站,life,生活服务;生活服务场所;生活服务场所,金牛区,104.005509,30.724388,4
域阳图文,life,生活服务;生活服务场所;生活服务场所,金牛区,104.005704,30.722058,2
家电维修,life,生活服务;维修站点;维修站点,金牛区,104.013654,30.726502,12
壹号时空装饰,life,生活服务;生活服务场所;生活服务场所,金牛区,104.004269,30.726154,3
中国福利彩票,life,生活服务;彩票彩券销售点;彩票彩券销售点,金牛区,104.005202,30.727424,2
快照复印邮件交通事故法律咨询,life,生活服务;生活服务场所;生活服务场所,金牛区,104.00385,30.724814,1
兴盛国际营销中心,life,生活服务;生活服务场所;生活服务场所,金牛区,104.00398,30.721772,1
中国移动(土桥服务厅),life,生活服务;电讯营业厅;中国移动营业厅,金牛区,104.006384,30.72665,2
国茂减速机集团四川售后服务部,life,生活服务;生活服务场所;生活服务场所,金牛区,104.019068,30.724259,1
李师修车(华严路),life,生活服务;维修站点;维修站点,金牛区,104.01868,30.723151,5
家无忧保洁,life,生活服务;生活服务场所;生活服务场所,金牛区,104.01688,30.724843,3
速递易(华侨城纯水岸二期B09),life,生活服务;物流速递;物流速递,金牛区,104.020982,30.724295,1
菜鸟驿站(川影校内商业街),life,生活服务;物流速递;物流速递,金牛区,104.022093,30.723753,1
煤气液化气配送点,life,生活服务;生活服务场所;生活服务场所,金牛区,104.020515,30.721505,2
金火焰燃气西华青杠体验店,life,生活服务;生活服务场所;生活服务场所,金牛区,104.021513,30.727147,1
圆通速递,life,生活服务;物流速递;物流速递,金牛区,104.023888,30.726251,16
净衣馆,life,生活服务;洗衣店;洗衣店,金牛区,104.025977,30.72366,7
悦己太太私房养生美容馆(华侨城店),life,生活服务;美容美发店;美容美发店,金牛区,104.02706,30.722355,1
精诚电线电缆维修服务部,life,生活服务;生活服务场所;生活服务场所,金牛区,104.025517,30.725089,1
上风上水,life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.032965,30.722392,9
小林创意,life,生活服务;生活服务场所;生活服务场所,金牛区,104.030554,30.721037,2
天鹅保物业中心,life,生活服务;生活服务场所;生活服务场所,金牛区,104.026877,30.719569,1
速递易(北三环路一段辅路),life,生活服务;物流速递;物流速递,金牛区,104.038766,30.724448,1
龙都物流,life,生活服务;物流速递;物流速递,金牛区,104.039183,30.720087,52
成都欢乐谷淋浴室,life,生活服务;生活服务场所;生活服务场所,金牛区,104.033651,30.726073,1
河北博亨移动脚手架,life,生活服务;生活服务场所;生活服务场所,金牛区,104.042648,30.7205,4
千岛视觉,life,生活服务;摄影冲印店;摄影冲印,金牛区,104.041631,30.726896,1
韵达,life,生活服务;物流速递;物流速递,金牛区,104.055757,30.724383,93
创梦造型,life,生活服务;美容美发店;美容美发店,金牛区,104.048198,30.726661,14
量力钢材物流中心B区(3号门),life,生活服务;生活服务场所;生活服务场所,金牛区,104.05251,30.728735,1
自行车租赁点(中环路洞子口路段),life,生活服务;生活服务场所;生活服务场所,金牛区,104.047575,30.724841,1
越西快运,life,生活服务;物流速递;物流速递,金牛区,104.045801,30.725373,22
德邦物流(金府路店),life,生活服务;物流速递;物流速递,金牛区,104.04457,30.726658,1
成都市昌盛建材租售部,life,生活服务;生活服务场所;生活服务场所,金牛区,104.043944,30.721881,1
中国福利彩票,life,生活服务;彩票彩券销售点;彩票彩券销售点,金牛区,104.048989,30.729268,1
艺甲屋,life,生活服务;生活服务场所;生活服务场所,金牛区,104.044077,30.718293,48
小李电动车维修店,life,生活服务;维修站点;维修站点,金牛区,104.05344,30.726107,1
御垚瘦,life,生活服务;生活服务场所;生活服务场所,金牛区,104.061474,30.725128,9
蕾奇尔洗衣(花满庭店),life,生活服务;洗衣店;洗衣店,金牛区,104.059381,30.72618,1
速递易,life,生活服务;物流速递;物流速递,金牛区,104.05774,30.726815,2
泉水社区便民服务点,life,生活服务;生活服务场所;生活服务场所,金牛区,104.061531,30.722201,1
速递易,life,生活服务;生活服务场所;生活服务场所,金牛区,104.059954,30.728958,12
西部出版物物流配送中心(文轩路),life,生活服务;物流速递;物流速递,金牛区,104.059544,30.719953,1
喜客来,life,生活服务;美容美发店;美容美发店,金牛区,104.063946,30.722727,10
馨颜美容,life,生活服务;生活服务场所;生活服务场所,金牛区,104.066187,30.722638,41
洞子口石油液化气配送点,life,生活服务;生活服务场所;生活服务场所,金牛区,104.068941,30.72266,1
成都通能CNG,life,生活服务;生活服务场所;生活服务场所,金牛区,104.071299,30.724965,1
成都昌运物流有限公司,life,生活服务;物流速递;物流速递,金牛区,104.068992,30.728648,1
江师维修电动车,life,生活服务;维修站点;维修站点,金牛区,104.067868,30.728739,1
上海牛元防水收废铁,life,生活服务;生活服务场所;生活服务场所,金牛区,104.071347,30.720184,1
