name,category,type,district,wgs_lng,wgs_lat,weight
英伦诊所,medical,医疗保健服务;诊所;诊所,金牛区,103.974719,30.734036,4
郫县浩民诊所,medical,医疗保健服务;诊所;诊所,金牛区,103.97809,30.733631,1
天仁堂大药房(塔米亚药房),medical,医疗保健服务;医药保健销售店;药房,金牛区,103.992052,30.73131,2
兴盛世家社区卫生服务站,medical,医疗保健服务;综合医院;卫生院,金牛区,104.013485,30.732373,1
予康诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.011254,30.733853,5
金牛蜀都诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.011359,30.731441,2
侯家桥村卫生站,medical,医疗保健服务;诊所;诊所,金牛区,104.00974,30.737422,2
金牛国诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.011857,30.738928,1
欣瑞药店,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.008645,30.733993,5
显毅诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.007832,30.732574,1
壶春堂药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.007285,30.738638,1
金牛明明诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.014154,30.735401,3
瑞铭康诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.022309,30.731778,2
金牛民明诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.018164,30.735791,2
金牛区金牛乡兴盛村卫生站,medical,医疗保健服务;诊所;诊所,金牛区,104.019124,30.730619,2
春昇堂诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.026357,30.733017,10
金牛区明明药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.028587,30.732133,2
府河星城社区医院,medical,医疗保健服务;诊所;诊所,金牛区,104.024534,30.731799,1
郫县乐康药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.033661,30.738028,3
君寿堂诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.040991,30.739297,3
友联诊所(川建路),medical,医疗保健服务;诊所;诊所,金牛区,104.050026,30.735984,12
量力建康城,medical,医疗保健服务;医药保健销售店;医药保健相关,金牛区,104.047534,30.732289,1
药品超市,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.046546,30.729894,1
量力医药健康城,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.045409,30.736594,1
齐顺堂大药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.053013,30.735407,3
百汇吉金牛济康诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.056111,30.734372,1
金牛秦氏康复诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.061896,30.735451,1
金牛双乐诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.059477,30.734421,5
娣德诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.058411,30.730728,6
金牛区益生堂诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.062171,30.729896,1
金牛区康晖药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.064331,30.737299,1
天桥诊所,medical,医疗保健服务;诊所;诊所,成华区,104.101008,30.729194,2
四川地质医院,medical,医疗保健服务;综合医院;综合医院,金牛区,104.113036,30.733951,3
成华清华诊所,medical,医疗保健服务;诊所;诊所,成华区,104.108799,30.731254,2
丽齿口腔,medical,医疗保健服务;专科医院;口腔医院,金牛区,104.106451,30.731441,1
回春大药房(湾仔巷),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.105955,30.73542,1
九华药品(蜀陵路),medical,医疗保健服务;医药保健销售店;药房,成华区,104.121215,30.738621,1
铁卫诊所,medical,医疗保健服务;诊所;诊所,成华区,104.118967,30.737445,1
石岭社区卫生服务站,medical,医疗保健服务;综合医院;卫生院|医疗保健服务;诊所;诊所,成华区,104.124188,30.738898,1
回龙社区卫生服务站(熊猫大道),medical,医疗保健服务;综合医院;卫生院,成华区,104.145387,30.734957,1
宸光齿艺,medical,医疗保健服务;专科医院;口腔医院|医疗保健服务;诊所;诊所,金牛区,103.977699,30.724033,5
御健堂大药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,103.976324,30.72167,1
金牛靖泸诊所,medical,医疗保健服务;诊所;诊所,金牛区,103.977416,30.719096,6
成都全愈堂中海药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,103.974798,30.720922,2
金牛区金泉街道互助社区卫生站,medical,医疗保健服务;综合医院;卫生院,金牛区,103.987815,30.725003,1
郫县景仁药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,103.990668,30.729232,1
四川康贝大药房(金牛加劲药店),medical,医疗保健服务;医药保健销售店;药房,金牛区,103.985971,30.722108,1
金泉社区卫生服务中心,medical,医疗保健服务;综合医院;卫生院,金牛区,104.003561,30.723814,3
济仁药店(金科西路),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.000406,30.722726,1
五里墩李氏诊所,medical,医疗保健服务;诊所;诊所,金牛区,103.99916,30.725039,2
金牛永益诊所,medical,医疗保健服务;诊所;诊所,金牛区,103.999526,30.721534,1
天乐药业(恒熙药房),medical,医疗保健服务;医药保健销售店;药房,金牛区,103.99527,30.724592,2
金牛超群诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.013223,30.726338,3
金牛华卫诊所(信息园西路),medical,医疗保健服务;诊所;诊所,金牛区,104.004643,30.726067,1
成都善道医院门诊部,medical,医疗保健服务;综合医院;综合医院,金牛区,104.015837,30.728198,2
金牛南洁诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.01798,30.72392,2
康复门诊,medical,医疗保健服务;诊所;诊所,金牛区,104.023872,30.726265,2
瑞御堂大药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.026143,30.723632,1
李勤中医馆,medical,医疗保健服务;诊所;诊所,金牛区,104.034534,30.722728,1
欢乐谷医务室,medical,医疗保健服务;诊所;诊所,金牛区,104.033788,30.72546,1
清新诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.053772,30.723899,12
中医药馆,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.044049,30.71931,7
穗铁老医师诊所,medical,医疗保健服务;专科医院;口腔医院,金牛区,104.051148,30.725283,1
佳宁诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.048359,30.72676,2
