name,category,type,district,wgs_lng,wgs_lat,weight
英伦书香府邸2期,residential,商务住宅;住宅区;住宅小区,金牛区,103.9768,30.733682,2
成都外国语学校教师公寓,residential,商务住宅;住宅区;住宅小区,金牛区,103.979073,30.733828,1
书香府邸1期,residential,商务住宅;住宅区;住宅小区,金牛区,103.976486,30.734863,1
中铁·塔米亚2期美邻(正门),residential,商务住宅;住宅区;住宅小区,金牛区,103.992674,30.731365,1
兴盛世家,residential,商务住宅;住宅区;住宅小区,金牛区,104.008108,30.733528,4
兴盛世家D区,residential,商务住宅;住宅区;住宅小区,金牛区,104.013211,30.733686,1
兴盛世家B区,residential,商务住宅;住宅区;住宅小区,金牛区,104.010074,30.731881,1
兴盛世家C区,residential,商务住宅;住宅区;住宅小区,金牛区,104.011142,30.734885,1
侯家花园,residential,商务住宅;住宅区;住宅小区,金牛区,104.009441,30.737832,2
西华街道兴盛世家社区,residential,商务住宅;住宅区;住宅小区,金牛区,104.013172,30.732442,1
府河星城名苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.023451,30.733075,1
兴盛村,residential,商务住宅;住宅区;住宅小区,金牛区,104.019136,30.732914,1
兴盛世家E区,residential,商务住宅;住宅区;住宅小区,金牛区,104.014916,30.731519,1
兴盛家园,residential,商务住宅;住宅区;住宅小区,金牛区,104.014736,30.733359,1
府河星城,residential,商务住宅;住宅区;住宅小区,金牛区,104.023144,30.731009,1
府河丽景,residential,商务住宅;住宅区;住宅小区,金牛区,104.020946,30.73309,1
府河星城名苑B区,residential,商务住宅;住宅区;住宅小区,金牛区,104.025515,30.733099,1
府河星城馨苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.027235,30.731058,1
厍庭,residential,商务住宅;住宅区;住宅小区,金牛区,104.026617,30.733944,1
欢乐城198,residential,商务住宅;住宅区;住宅小区,金牛区,104.041886,30.736599,1
踏水新居,residential,商务住宅;住宅区;住宅小区,金牛区,104.040974,30.737925,1
华侨城原岸,residential,商务住宅;住宅区;住宅小区,金牛区,104.041546,30.72995,2
华侨城5期,residential,商务住宅;住宅区;住宅区,金牛区,104.043537,30.730045,1
府河·双桥苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.040576,30.73883,1
成都华侨城·东岸A2区,residential,商务住宅;住宅区;住宅区,金牛区,104.036378,30.730236,1
华侨城·原岸6期,residential,商务住宅;住宅区;住宅小区,金牛区,104.043984,30.731469,1
沙河原社区,residential,商务住宅;住宅区;住宅小区,金牛区,104.051514,30.735183,2
沙河源街道川建社区,residential,商务住宅;住宅区;住宅小区,金牛区,104.051375,30.734149,1
沙河源街道川建社区(西南门),residential,商务住宅;住宅区;住宅小区,金牛区,104.050525,30.732775,1
泉水人家,residential,商务住宅;住宅区;住宅小区,金牛区,104.057722,30.731724,1
泉水人家3期A区,residential,商务住宅;住宅区;住宅小区,金牛区,104.057646,30.734097,1
泉水人家3期B区,residential,商务住宅;住宅区;住宅小区,金牛区,104.061001,30.734015,1
腌卤巷,residential,商务住宅;住宅区;住宅小区,金牛区,104.058503,30.733116,1
泉水人家2期,residential,商务住宅;住宅区;住宅小区,金牛区,104.058107,30.72968,2
泉水小区,residential,商务住宅;住宅区;住宅小区,金牛区,104.059605,30.734263,2
涵碧天下,residential,商务住宅;住宅区;住宅小区,金牛区,104.069392,30.737851,1
工疗家园,residential,商务住宅;住宅区;住宅小区,成华区,104.11224,30.732325,1
合家园,residential,商务住宅;住宅区;住宅区,成华区,104.116671,30.732609,1
保利两河森林,residential,商务住宅;住宅区;住宅小区,金牛区,103.965376,30.722969,1
金牛国际社区,residential,商务住宅;住宅区;住宅小区,金牛区,103.972373,30.729039,1
北京城建龙樾熙城,residential,商务住宅;住宅区;住宅小区,金牛区,103.979908,30.724193,1
龙樾熙城,residential,商务住宅;住宅区;住宅小区,金牛区,103.979439,30.726072,1
橙郡一期,residential,商务住宅;住宅区;住宅小区,金牛区,103.978269,30.721434,1
中海国际社区北门,residential,商务住宅;住宅区;住宅小区,金牛区,103.976073,30.727406,1
精城国际,residential,商务住宅;住宅区;住宅小区,金牛区,103.982547,30.721901,1
保利学府城(建设中),residential,商务住宅;住宅区;住宅小区,金牛区,103.993378,30.728738,1
互助社区,residential,商务住宅;住宅区;住宅小区,金牛区,103.991554,30.723705,1
互助家园安置小区,residential,商务住宅;住宅区;住宅小区,金牛区,103.991473,30.726511,1
金华花园(金周路),residential,商务住宅;住宅区;住宅小区,金牛区,104.001667,30.726261,1
金盾苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.003585,30.723294,1
万科国宾润园,residential,商务住宅;住宅区;住宅小区,金牛区,104.001622,30.720092,2
鑫房名苑,residential,商务住宅;住宅区;住宅小区,金牛区,103.999298,30.726254,3
保利学府城,residential,商务住宅;住宅区;住宅小区,金牛区,104.001962,30.728439,1
中成主角,residential,商务住宅;住宅区;住宅区,金牛区,104.000435,30.726802,1
正成·拉斐,residential,商务住宅;住宅区;住宅小区,金牛区,103.996636,30.721282,2
正成·拉斐2期,residential,商务住宅;住宅区;住宅区,金牛区,103.997508,30.721894,1
迪舒·美领,residential,商务住宅;住宅区;住宅小区,金牛区,104.003427,30.720509,1
东原·亲亲里,residential,商务住宅;住宅区;住宅小区|生活服务;生活服务场所;生活服务场所,金牛区,104.001444,30.723754,1
西城上域,residential,商务住宅;住宅区;住宅小区,金牛区,104.006304,30.726747,1
西华街道金牛社区,residential,商务住宅;住宅区;住宅小区,金牛区,104.011253,30.725204,2
国宾·时光汇,residential,商务住宅;住宅区;住宅小区,金牛区,104.004851,30.7263,1
泽瑞西园,residential,商务住宅;住宅区;住宅小区,金牛区,104.011201,30.721995,1
金桥苑(信息园西路),residential,商务住宅;住宅区;住宅小区,金牛区,104.005541,30.721624,1
金泉街道青杠社区,residential,商务住宅;住宅区;住宅小区,金牛区,104.022686,30.728218,2
西园,residential,商务住宅;住宅区;住宅小区,金牛区,104.014019,30.723275,1
金牛区瓦子社区,residential,商务住宅;住宅区;住宅小区,金牛区,104.016357,30.725494,1
纯水岸2区,residential,商务住宅;住宅区;住宅小区,金牛区,104.023266,30.722188,1
纯水岸北区,residential,商务住宅;住宅区;住宅小区,金牛区,104.026208,30.722368,2
华侨城纯水岸1期,residential,商务住宅;住宅区;住宅区,金牛区,104.025851,30.719528,1
华侨城3期,residential,商务住宅;住宅区;住宅区,金牛区,104.024789,30.721593,1
华侨城·东岸东区,residential,商务住宅;住宅区;住宅小区,金牛区,104.04242,30.727874,1
华侨城·东岸西区,residential,商务住宅;住宅区;住宅小区,金牛区,104.035957,30.729043,1
华侨城·天屿,residential,商务住宅;住宅区;住宅小区,金牛区,104.038913,30.72657,1
中加水岸,residential,商务住宅;住宅区;住宅小区,金牛区,104.042755,30.721884,1
成都华侨城·东岸A1区,residential,商务住宅;住宅区;住宅区,金牛区,104.036112,30.727189,1
成都华侨城·东岸A3区,residential,商务住宅;住宅区;住宅区,金牛区,104.041038,30.726729,1
金府世家,residential,商务住宅;住宅区;住宅小区,金牛区,104.050812,30.725115,1
新桥丽景,residential,商务住宅;住宅区;住宅小区,金牛区,104.049676,30.726458,2
沙河·源上金府,residential,商务住宅;住宅区;住宅小区,金牛区,104.053303,30.724506,1
新元绿洲,residential,商务住宅;住宅区;住宅区,金牛区,104.04486,30.719918,2
洞翠苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.052811,30.720985,1
杨柳新屯小区,residential,商务住宅;住宅区;住宅小区,金牛区,104.047788,30.727128,1
沙河源上金府2期,residential,商务住宅;住宅区;住宅区,金牛区,104.052226,30.724973,1
天悦城,residential,商务住宅;住宅区;住宅小区,金牛区,104.053424,30.726285,1
新桥丽景西区,residential,商务住宅;住宅区;住宅小区,金牛区,104.048472,30.726047,1
新桥丽景2期,residential,商务住宅;住宅区;住宅区,金牛区,104.051354,30.727171,1
蓝光·花满庭,residential,商务住宅;住宅区;住宅小区,金牛区,104.057794,30.725585,1
泉水南苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.060023,30.72514,1
凌江尚府,residential,商务住宅;住宅区;住宅小区,金牛区,104.0549,30.724127,1
泉水北苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.060225,30.726127,1
沙河源街道泉水社区,residential,商务住宅;住宅区;住宅小区,金牛区,104.0608,30.723841,1
蓉北商贸二段,residential,商务住宅;住宅区;住宅小区,金牛区,104.056907,30.72347,2
天悦汇中心2期,residential,商务住宅;住宅区;住宅小区,金牛区,104.055196,30.727643,1
泉水人家2期B区,residential,商务住宅;住宅区;住宅小区,金牛区,104.061262,30.729261,1
泉水东苑A区,residential,商务住宅;住宅区;住宅小区,金牛区,104.061622,30.725576,2
水韵天府,residential,商务住宅;住宅区;住宅小区,金牛区,104.064803,30.721942,1
香江岸,residential,商务住宅;住宅区;住宅小区,金牛区,104.066591,30.722544,1
三九·绿城,residential,商务住宅;住宅区;住宅小区,金牛区,104.067182,30.720373,1
芙华新大陆,residential,商务住宅;住宅区;住宅小区,成华区,104.069106,30.719239,2
王贾·红豆华庭,residential,商务住宅;住宅区;住宅小区,金牛区,104.0704,30.722548,2
沙河·凤凰城Ⅰ区,residential,商务住宅;住宅区;住宅小区,金牛区,104.07344,30.719855,1
邓家大院,residential,商务住宅;住宅区;住宅小区,金牛区,104.071097,30.720853,1
绿地·世纪城,residential,商务住宅;住宅区;住宅小区,金牛区,104.07717,30.722993,2
沙河凤凰城2区,residential,商务住宅;住宅区;住宅区,金牛区,104.076683,30.719665,3
绿地世纪城3期,residential,商务住宅;住宅区;住宅小区,金牛区,104.079925,30.72289,1
成都市凤凰山3期,residential,商务住宅;住宅区;住宅小区,金牛区,104.073607,30.720984,1
上东1号,residential,商务住宅;住宅区;住宅小区,成华区,104.104308,30.719362,1
蓝光金悦府,residential,商务住宅;住宅区;住宅小区,成华区,104.112674,30.725138,1
白莲小区,residential,商务住宅;住宅区;住宅小区,成华区,104.108978,30.727616,2
御苑,residential,商务住宅;住宅区;住宅小区,成华区,104.105918,30.723208,1
白莲小区一号院,residential,商务住宅;住宅区;住宅区,成华区,104.107663,30.727612,1
金悦府3期,residential,商务住宅;住宅区;住宅小区,成华区,104.11497,30.725153,1
蓝润蓝客城,residential,商务住宅;住宅区;住宅小区,成华区,104.13079,30.723186,1
一里塘社区,residential,商务住宅;住宅区;住宅小区,成华区,104.134106,30.727791,1
和成社区,residential,商务住宅;住宅区;住宅小区,成华区,104.151875,30.722771,1
北湖印象,residential,商务住宅;住宅区;住宅小区,成华区,104.16394,30.719445,3
北湖印象东区3期,residential,商务住宅;住宅区;住宅区,成华区,104.166629,30.721241,1
清淳家园,residential,商务住宅;住宅区;住宅小区,金牛区,103.979711,30.709804,2
金科苑(高家小区)1区,residential,商务住宅;住宅区;住宅小区,金牛区,103.982548,30.712936,1
远洋·朗郡,residential,商务住宅;住宅区;住宅小区,金牛区,103.97766,30.718284,1
河滨森邻C区,residential,商务住宅;住宅区;住宅小区,金牛区,103.982887,30.715414,1
金科苑四区,residential,商务住宅;住宅区;住宅小区,金牛区,103.983373,30.711572,1
河滨森邻A区,residential,商务住宅;住宅区;住宅小区,金牛区,103.980421,30.716241,1
河滨森邻,residential,商务住宅;住宅区;住宅小区,金牛区,103.981548,30.716672,2
龙湖·源著(两河西三路),residential,商务住宅;住宅区;住宅小区|体育休闲服务;休闲场所;休闲场所,金牛区,103.977925,30.716101,1
河滨森邻D区,residential,商务住宅;住宅区;住宅小区,金牛区,103.981351,30.714622,1
金牛花园,residential,商务住宅;住宅区;住宅小区,金牛区,103.989494,30.712243,2
金科苑六区,residential,商务住宅;住宅区;住宅小区,金牛区,103.986399,30.713603,1
金科苑三区,residential,商务住宅;住宅区;住宅小区,金牛区,103.985322,30.714732,2
西线阳光,residential,商务住宅;住宅区;住宅小区,金牛区,103.99195,30.712873,1
金科社区,residential,商务住宅;住宅区;住宅小区,金牛区,103.985852,30.712189,2
金科苑,residential,商务住宅;住宅区;住宅小区,金牛区,103.984281,30.713495,2
金科苑五区,residential,商务住宅;住宅区;住宅小区,金牛区,103.984786,30.712338,1
百仁安盛,residential,商务住宅;住宅区;住宅小区,金牛区,103.99017,30.710502,1
美立方,residential,商务住宅;住宅区;住宅区,金牛区,103.99167,30.710075,3
万科·锦西润园(蜀西南三路),residential,商务住宅;住宅区;住宅小区,金牛区,103.992391,30.711454,1
白鸽岛尚,residential,商务住宅;住宅区;住宅小区,金牛区,103.993573,30.710944,1
西城映画(蜀跃西路),residential,商务住宅;住宅区;住宅小区,金牛区,104.002712,30.710343,1
近郊民居,residential,商务住宅;住宅区;住宅小区,金牛区,104.001502,30.713856,1
路劲高家庄,residential,商务住宅;住宅区;住宅区,金牛区,103.997315,30.709566,1
金卉苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.003605,30.716243,1
保利国宾首府,residential,商务住宅;住宅区;住宅小区,金牛区,103.998364,30.719528,1
金玺园,residential,商务住宅;住宅区;住宅小区,金牛区,103.995464,30.710376,1
德润苑,residential,商务住宅;住宅区;住宅区,金牛区,103.997773,30.715181,1
仁和香榭广场,residential,商务住宅;住宅区;住宅小区,金牛区,104.008559,30.714198,1
蓝海中心,residential,商务住宅;住宅区;住宅区,金牛区,104.008381,30.715896,1
省委家属院,residential,商务住宅;住宅区;住宅小区,金牛区,104.010676,30.71549,1
华置·西锦城,residential,商务住宅;住宅区;住宅小区,金牛区,104.008516,30.712257,1
仁和迎宾,residential,商务住宅;住宅区;住宅小区,金牛区,104.006849,30.712148,1
万科国宾首府,residential,商务住宅;住宅区;住宅小区,金牛区,104.010321,30.711834,1
金域西岭,residential,商务住宅;住宅区;住宅小区,金牛区,104.011488,30.712606,1
恒大·西锦城,residential,商务住宅;住宅区;住宅小区,金牛区,104.008529,30.711356,1
迎宾大道一号2期,residential,商务住宅;住宅区;住宅区,金牛区,104.013523,30.715491,1
益州蓉苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.011337,30.710275,1
西岸观邸,residential,商务住宅;住宅区;住宅小区,金牛区,104.009465,30.709531,1
锦城豪庭,residential,商务住宅;住宅区;住宅小区,金牛区,104.005183,30.710487,1
金泉4号院,residential,商务住宅;住宅区;住宅小区,金牛区,104.012429,30.718312,1
西汇苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.004822,30.7191,1
西蜀皓月,residential,商务住宅;住宅区;住宅小区,金牛区,104.014834,30.711808,1
纯水岸208区,residential,商务住宅;住宅区;住宅小区,金牛区,104.023325,30.719279,1
西城首峻,residential,商务住宅;住宅区;住宅小区,金牛区,104.022707,30.71309,1
川西名居,residential,商务住宅;住宅区;住宅小区,金牛区,104.016454,30.712184,1
锦熙玉苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.020734,30.713732,1
九四信箱第三生活区,residential,商务住宅;住宅区;住宅小区,金牛区,104.015927,30.710958,1
金泉街道跃进社区,residential,商务住宅;住宅区;住宅小区,金牛区,104.022592,30.712143,1
纯水岸南区,residential,商务住宅;住宅区;住宅小区,金牛区,104.024743,30.716248,1
蓝色雅典,residential,商务住宅;住宅区;住宅小区,金牛区,104.032051,30.710608,1
嘉宇·天琢城,residential,商务住宅;住宅区;住宅小区,金牛区,104.023935,30.709594,1
华侨城纯水岸,residential,商务住宅;住宅区;住宅小区,金牛区,104.024651,30.719058,1
蓝色空间如意府D区,residential,商务住宅;住宅区;住宅小区,金牛区,104.033086,30.711013,1
万贯银座小区办公点,residential,商务住宅;住宅区;住宅区,金牛区,104.033405,30.714457,1
长久新城长乐苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.039633,30.714381,1
花香九里,residential,商务住宅;住宅区;住宅小区,金牛区,104.039147,30.71177,2
长久新城长福苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.04126,30.714104,1
久鑫华园,residential,商务住宅;住宅区;住宅小区,金牛区,104.037192,30.711939,1
锦鸿西苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.038971,30.71008,6
长久新城长兴苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.041598,30.712112,2
金府西部正金机电城,residential,商务住宅;住宅区;住宅区,金牛区,104.034414,30.714819,1
蓝色空间A1,residential,商务住宅;住宅区;住宅区,金牛区,104.03466,30.712012,3
新桥逸景,residential,商务住宅;住宅区;住宅小区,金牛区,104.041869,30.716983,1
万基·兰御,residential,商务住宅;住宅区;住宅小区,金牛区,104.04313,30.714773,1
蓝色空间,residential,商务住宅;住宅区;住宅小区,金牛区,104.035495,30.711049,1
金府旺角,residential,商务住宅;住宅区;住宅小区,金牛区,104.035564,30.718234,1
星河小区,residential,商务住宅;住宅区;住宅小区,金牛区,104.041572,30.710295,2
金桔花园北苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.036824,30.709443,3
五合苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.050007,30.7147,1
幸福时光(星汉路),residential,商务住宅;住宅区;住宅小区,金牛区,104.045915,30.714287,1
新天地民苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.045901,30.71549,1
五福佳苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.052301,30.715139,1
博爱家园(九里堤北路),residential,商务住宅;住宅区;住宅小区,金牛区,104.047817,30.710961,1
千禧花园(星汉路),residential,商务住宅;住宅区;住宅小区,金牛区,104.044407,30.714245,1
九里苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.044587,30.715602,1
佳美花园,residential,商务住宅;住宅区;住宅小区,金牛区,104.046064,30.710194,3
九里堤北路小区,residential,商务住宅;住宅区;住宅小区,金牛区,104.050238,30.710262,2
新桥逸景C区,residential,商务住宅;住宅区;住宅小区,金牛区,104.043901,30.716417,1
九里西苑,residential,商务住宅;住宅区;住宅区,金牛区,104.048713,30.70979,2
交大智能小区(4-5期),residential,商务住宅;住宅区;住宅小区,金牛区,104.044643,30.711237,1
兴元绿洲,residential,商务住宅;住宅区;住宅小区,金牛区,104.045235,30.718228,1
星科北街2号院,residential,商务住宅;住宅区;住宅小区,金牛区,104.047302,30.709693,1
聚贤半岛花苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.051493,30.709598,1
合力达·映日荷花,residential,商务住宅;住宅区;住宅小区,金牛区,104.058964,30.716048,1
峰尚,residential,商务住宅;住宅区;住宅区,金牛区,104.056671,30.716419,1
龙湖·北城天街2期,residential,商务住宅;住宅区;住宅小区,金牛区,104.061624,30.713376,1
华润·银杏华庭,residential,商务住宅;住宅区;住宅小区,金牛区,104.062455,30.715484,1
福宁小区,residential,商务住宅;住宅区;住宅小区,金牛区,104.059874,30.717754,1
忠义苑,residential,商务住宅;住宅区;住宅区,金牛区,104.055392,30.7186,2
滨雅苑,residential,商务住宅;住宅区;住宅小区,成华区,104.069164,30.713444,2
龙湖北城1期,residential,商务住宅;住宅区;住宅区,金牛区,104.066503,30.713829,4
五福桥东路八号院(五福桥东路),residential,商务住宅;住宅区;住宅小区,金牛区,104.066648,30.715476,1
花郡佳园,residential,商务住宅;住宅区;住宅小区,成华区,104.068619,30.711586,3
河滨丽苑,residential,商务住宅;住宅区;住宅小区,成华区,104.070703,30.713114,1
北城时代,residential,商务住宅;住宅区;住宅区,金牛区,104.064851,30.713451,1
花径园,residential,商务住宅;住宅区;住宅小区,成华区,104.07048,30.710846,1
北城盛世,residential,商务住宅;住宅区;住宅小区,金牛区,104.065244,30.710989,1
沙河阳光,residential,商务住宅;住宅区;住宅小区,金牛区,104.072854,30.716826,1
北港新城,residential,商务住宅;住宅区;住宅小区,金牛区,104.068391,30.709645,1
智业福地,residential,商务住宅;住宅区;住宅小区,金牛区,104.066153,30.710035,1
天福缘(水武街),residential,商务住宅;住宅区;住宅小区,成华区,104.072785,30.710876,1
水武街77号院,residential,商务住宅;住宅区;住宅区,成华区,104.073652,30.709972,2
双水康城,residential,商务住宅;住宅区;住宅小区,成华区,104.076096,30.717338,2
微时代,residential,商务住宅;住宅区;住宅区,成华区,104.074928,30.715311,3
沙河北岸,residential,商务住宅;住宅区;住宅小区,成华区,104.089696,30.714322,2
上行锦绣,residential,商务住宅;住宅区;住宅小区,成华区,104.092818,30.71342,1
荆竹小区二号院,residential,商务住宅;住宅区;住宅小区,成华区,104.09113,30.71455,1
荆竹小区六号院,residential,商务住宅;住宅区;住宅小区,成华区,104.091438,30.718394,1
兴元华盛,residential,商务住宅;住宅区;住宅小区,成华区,104.091436,30.711193,2
荆竹小区三号院,residential,商务住宅;住宅区;住宅小区,成华区,104.091491,30.716384,1
荆竹苑,residential,商务住宅;住宅区;住宅小区,成华区,104.093253,30.715627,1
成华区双水碾街道云锦社区,residential,商务住宅;住宅区;住宅小区,成华区,104.092841,30.712172,1
沙河北岸北区,residential,商务住宅;住宅区;住宅小区,成华区,104.08961,30.7159,2
丽水澜庭,residential,商务住宅;住宅区;住宅小区,成华区,104.089462,30.710314,2
荆竹小区一号院,residential,商务住宅;住宅区;住宅区,成华区,104.091062,30.713095,2
荆竹小区五号院,residential,商务住宅;住宅区;住宅小区,成华区,104.088456,30.717081,1
竹林居,residential,商务住宅;住宅区;住宅小区,成华区,104.092293,30.714288,1
蓉铁花园,residential,商务住宅;住宅区;住宅小区,成华区,104.098024,30.717031,1
雍华府,residential,商务住宅;住宅区;住宅小区,成华区,104.095155,30.712643,1
维多利亚富御,residential,商务住宅;住宅区;住宅小区,成华区,104.094289,30.715322,1
荆竹小区八号院,residential,商务住宅;住宅区;住宅小区,成华区,104.099184,30.718061,1
招商·雍华府2期,residential,商务住宅;住宅区;住宅小区,成华区,104.09615,30.711087,1
招商·雍华府1期,residential,商务住宅;住宅区;住宅区,成华区,104.094057,30.712912,1
凤翔华庭,residential,商务住宅;住宅区;住宅小区,成华区,104.095816,30.717829,1
蓝光BRC·富丽花城春色园,residential,商务住宅;住宅区;住宅小区,成华区,104.103053,30.715947,1
上东1号·蓉华上林,residential,商务住宅;住宅区;住宅小区,成华区,104.102893,30.717307,1
荆竹小区七号院,residential,商务住宅;住宅区;住宅小区,成华区,104.094113,30.718038,1
兴元华盛3区,residential,商务住宅;住宅区;住宅小区,成华区,104.094504,30.710046,2
金科一城,residential,商务住宅;住宅区;住宅小区,成华区,104.109274,30.713783,1
平安小区,residential,商务住宅;住宅区;住宅小区,成华区,104.107826,30.713036,3
东林小区,residential,商务住宅;住宅区;住宅小区,成华区,104.110111,30.716295,1
华润·翠林华庭,residential,商务住宅;住宅区;住宅小区,成华区,104.104843,30.714699,1
上东1号3期,residential,商务住宅;住宅区;住宅小区|地名地址信息;门牌信息;楼栋号,成华区,104.10556,30.717201,2
合能·东林城市花园,residential,商务住宅;住宅区;住宅小区,成华区,104.112872,30.715918,1
首创光和城,residential,商务住宅;住宅区;住宅小区,成华区,104.113233,30.713389,1
富丽花城,residential,商务住宅;住宅区;住宅小区,成华区,104.110079,30.718581,1
华宇·阳光尚座,residential,商务住宅;住宅区;住宅小区,成华区,104.113378,30.718132,1
蓝光·COCO国际1期,residential,商务住宅;住宅区;住宅小区,成华区,104.11882,30.711244,1
蓝光·COCO国际,residential,商务住宅;住宅区;住宅小区,成华区,104.119755,30.712702,1
新山复郡,residential,商务住宅;住宅区;住宅小区,成华区,104.129118,30.715038,1
翠屏北里(荆翠东路),residential,商务住宅;住宅区;住宅小区,成华区,104.126817,30.715025,1
北湖新城1期,residential,商务住宅;住宅区;住宅小区,成华区,104.159888,30.710026,1
北湖印象南区,residential,商务住宅;住宅区;住宅小区,成华区,104.166653,30.716578,3
北湖印象6期,residential,商务住宅;住宅区;住宅小区,成华区,104.168854,30.718544,1
北湖印象1期,residential,商务住宅;住宅区;住宅区,成华区,104.16481,30.717188,1
北湖印象-东区,residential,商务住宅;住宅区;住宅区,成华区,104.165796,30.718274,1
北湖印象5期,residential,商务住宅;住宅区;住宅小区,成华区,104.167382,30.718897,1
北湖印象2期(南门),residential,商务住宅;住宅区;住宅小区|通行设施;临街院门;临街院门,成华区,104.163901,30.718515,1
恒大锦城(建设中),residential,商务住宅;住宅区;住宅小区,成华区,104.174077,30.714229,1
绿地悦蓉公馆,residential,商务住宅;住宅区;住宅小区,成华区,104.177019,30.71425,1
中航工业成飞单身公寓(纬一路),residential,商务住宅;住宅区;住宅小区,青羊区,103.966262,30.701511,1
成飞217小区,residential,商务住宅;住宅区;住宅小区,青羊区,103.96388,30.700292,1
清淳家园2期A区,residential,商务住宅;住宅区;住宅小区,金牛区,103.975915,30.702752,1
清淳家园2期B区,residential,商务住宅;住宅区;住宅小区,金牛区,103.974854,30.702058,1
清淳家园4区,residential,商务住宅;住宅区;住宅小区,金牛区,103.978324,30.705054,4
雨河社区,residential,商务住宅;住宅区;住宅小区,金牛区,103.979231,30.706836,3
清淳一街25号院,residential,商务住宅;住宅区;住宅区,金牛区,103.976502,30.70724,1
两河锦地,residential,商务住宅;住宅区;住宅小区,金牛区,103.992058,30.708458,1
华宇西城雅郡,residential,商务住宅;住宅区;住宅小区,金牛区,103.984105,30.709573,1
保利·梧桐语,residential,商务住宅;住宅区;住宅小区,金牛区,103.988843,30.70812,1
金泉阳光景新苑,residential,商务住宅;住宅区;住宅小区,金牛区,103.997922,30.704928,1
居然小区,residential,商务住宅;住宅区;住宅小区,金牛区,104.000068,30.705104,2
郎家小区,residential,商务住宅;住宅区;住宅小区,金牛区,103.999055,30.702742,1
