name,category,type,district,wgs_lng,wgs_lat,weight
谭木匠,shopping,购物服务;专卖店;专营店,金牛区,103.97306,30.732746,1
小蓓星母婴生活馆,shopping,购物服务;专卖店;儿童用品店,金牛区,103.973591,30.733981,1
状元书吧(书香府邸东),shopping,购物服务;专卖店;书店,金牛区,103.97784,30.734381,2
异星萌宠,shopping,购物服务;专卖店;宠物用品店,金牛区,103.978165,30.733542,2
出售打夯机鸡公吊吊篮脚手架,shopping,购物服务;购物相关场所;购物相关场所,金牛区,103.98042,30.732593,1
友友超市(金粮路),shopping,购物服务;便民商店/便利店;便民商店/便利店,金牛区,103.98129,30.73226,1
小贵族,shopping,购物服务;专卖店;儿童用品店,金牛区,103.974646,30.734059,14
上海正宗貂绒羊绒羊毛衫,shopping,购物服务;购物相关场所;购物相关场所,金牛区,103.982142,30.732738,1
优品鲜果蔬店,shopping,购物服务;综合市场;农副产品市场,金牛区,103.992032,30.731246,2
郫县友富贵副食超市,shopping,购物服务;便民商店/便利店;便民商店/便利店,金牛区,103.991456,30.730495,3
顺风三轮车厂,shopping,购物服务;购物相关场所;购物相关场所,金牛区,104.000313,30.733398,2
豪佳石业,shopping,购物服务;购物相关场所;购物相关场所,金牛区,103.996208,30.734844,1
鸿进石材,shopping,购物服务;购物相关场所;购物相关场所,金牛区,104.001117,30.735422,1
坤鑫石业,shopping,购物服务;购物相关场所;购物相关场所,金牛区,104.002832,30.732353,36
佳源石材,shopping,购物服务;购物相关场所;购物相关场所,金牛区,104.002249,30.73167,35
美思欧,shopping,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,金牛区,104.008683,30.733131,42
E家电脑(盛兴路),shopping,购物服务;家电电子卖场;数码电子,金牛区,104.007776,30.733893,1
天天乐超市(盛兴路),shopping,购物服务;便民商店/便利店;便民商店/便利店,金牛区,104.010783,30.733715,5
香叶尖,shopping,购物服务;专卖店;专营店,金牛区,104.007037,30.733071,1
美的(欢乐谷专卖店),shopping,购物服务;家电电子卖场;家电电子卖场,金牛区,104.011463,30.733873,1
新盛世,shopping,购物服务;购物相关场所;购物相关场所,金牛区,104.011255,30.733274,1
兰亭序,shopping,购物服务;购物相关场所;购物相关场所,金牛区,104.008658,30.73181,3
巴比兔,shopping,购物服务;专卖店;儿童用品店,金牛区,104.012178,30.732049,18
晋大姐副食粮油店,shopping,购物服务;便民商店/便利店;便民商店/便利店,金牛区,104.009234,30.738025,2
静兴电器,shopping,购物服务;家电电子卖场;综合家电商场,金牛区,104.012966,30.734817,3
成奇通讯,shopping,购物服务;家电电子卖场;手机销售,金牛区,104.013382,30.735346,3
鼎鑫经营部,shopping,购物服务;便民商店/便利店;便民商店/便利店,金牛区,104.007422,30.738669,3
小灶高粱酒坊(金鑫大道),shopping,购物服务;专卖店;烟酒专卖店,金牛区,104.018119,30.735364,1
井盖批发,shopping,购物服务;专卖店;专营店,金牛区,104.019476,30.733324,1
敬鑫酒坊高粱酒,shopping,购物服务;购物相关场所;购物相关场所,金牛区,104.01793,30.736198,5
井盖自产自销,shopping,购物服务;购物相关场所;购物相关场所,金牛区,104.019991,30.733482,1
紫强干杂店,shopping,购物服务;便民商店/便利店;便民商店/便利店,金牛区,104.020071,30.732768,1
久康酒水,shopping,购物服务;专卖店;烟酒专卖店,金牛区,104.021745,30.734473,2
天天批发超市,shopping,购物服务;便民商店/便利店;便民商店/便利店,金牛区,104.021071,30.736381,1
邛崃仙居酒,shopping,购物服务;专卖店;烟酒专卖店,金牛区,104.01767,30.737348,1
鑫盛超市,shopping,购物服务;便民商店/便利店;便民商店/便利店,金牛区,104.018948,30.737462,1
