name,category,type,district,wgs_lng,wgs_lat,weight
卡奇乐儿童益智乐园,sports,体育休闲服务;休闲场所;游乐场,金牛区,103.97358,30.734008,1
高新皇冠假日酒店水之韵酒吧,sports,体育休闲服务;娱乐场所;酒吧,金牛区,103.971529,30.730994,2
红鹤园,sports,体育休闲服务;度假疗养场所;疗养院,金牛区,103.998201,30.732153,1
欣悦网吧(全兴路),sports,体育休闲服务;娱乐场所;网吧,金牛区,104.001292,30.736057,1
秘地KTV,sports,体育休闲服务;娱乐场所;KTV,金牛区,104.007273,30.738628,1
光年网咖(动感地带店),sports,体育休闲服务;娱乐场所;网吧,金牛区,104.007852,30.733837,3
英豪搏击,sports,体育休闲服务;运动场馆;运动场所,金牛区,104.013217,30.732232,1
云云网吧(盛兴路),sports,体育休闲服务;娱乐场所;网吧,金牛区,104.010823,30.733678,1
沙西佳园,sports,体育休闲服务;休闲场所;休闲场所,金牛区,104.011655,30.739462,1
情深网吧(盛兴路),sports,体育休闲服务;娱乐场所;网吧,金牛区,104.014355,30.73553,1
荷花山庄(西门),sports,通行设施;临街院门;临街院门|体育休闲服务;休闲场所;休闲场所,金牛区,104.015649,30.73944,1
星城网络会所,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.026414,30.732856,4
上河居度假村(府河静园南),sports,体育休闲服务;度假疗养场所;度假村,金牛区,104.028446,30.734202,1
社稷网咖,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.029267,30.73175,1
府河新居社区日间照料中心,sports,体育休闲服务;度假疗养场所;疗养院,金牛区,104.029018,30.730366,2
灯火阑珊网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.024364,30.731306,2
时空引擎网吧连锁,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.033289,30.73804,1
靖地度假俱乐部,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,金牛区,104.037552,30.738435,1
省建二公司老年活动中心,sports,体育休闲服务;休闲场所;休闲场所,金牛区,104.041023,30.732602,1
必好情苑网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.041218,30.739064,1
七鑫网咖,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.059607,30.733106,4
天美网吧(嘉源店),sports,体育休闲服务;娱乐场所;网吧,金牛区,104.056103,30.733848,1
泉水叮当网络驿站,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.057005,30.730707,1
专业施工运动场地,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,金牛区,104.062261,30.737211,1
金牛区老年协会枯丰园活动中心,sports,体育休闲服务;娱乐场所;娱乐场所,金牛区,104.075728,30.732797,1
四川省总工会成都工人疗养院,sports,体育休闲服务;度假疗养场所;疗养院,成华区,104.111987,30.731123,1
海韵网吧(蜀陵路),sports,体育休闲服务;娱乐场所;网吧,成华区,104.109807,30.731109,1
艾特网吧(蓉都大道将军碑路辅路),sports,体育休闲服务;娱乐场所;网吧,金牛区,104.107482,30.731967,1
钟哥麻将馆,sports,体育休闲服务;娱乐场所;棋牌室,金牛区,104.107882,30.735448,1
四川道盟跆拳道成都馆,sports,体育休闲服务;运动场馆;运动场所,成华区,104.11592,30.73325,1
陈氏太极馆,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,成华区,104.138414,30.734703,2
成都大熊猫繁育研究基地熊猫魅力剧场,sports,风景名胜;风景名胜;国家级景点|体育休闲服务;影剧院;剧场,成华区,104.140212,30.738079,1
精英团真人cs,sports,体育休闲服务;休闲场所;休闲场所,金牛区,103.968793,30.721638,1
成都精英团野外拓展训练俱乐部,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,金牛区,103.968395,30.719903,1
天乾健身(中海店),sports,体育休闲服务;运动场馆;健身中心,金牛区,103.974582,30.721878,1
MU Pub,sports,体育休闲服务;娱乐场所;酒吧,金牛区,103.97653,30.726212,3
谁家酒吧,sports,体育休闲服务;娱乐场所;酒吧,金牛区,103.978203,30.724252,22
成都007足球俱乐部,sports,体育休闲服务;运动场馆;足球场,金牛区,103.98181,30.723264,1
四宿天元,sports,体育休闲服务;娱乐场所;娱乐场所,金牛区,103.988222,30.721128,2
鸿运庄游泳池,sports,体育休闲服务;运动场馆;游泳馆,金牛区,103.988021,30.722721,1
大道客厅,sports,体育休闲服务;娱乐场所;娱乐场所,金牛区,103.988742,30.729122,1
官渡度假村,sports,体育休闲服务;度假疗养场所;度假村,金牛区,103.986711,30.725211,1
