community_id,name,district,center_lng,center_lat,polygon_wkt
0,英伦书香府邸2期,金牛区,103.976437,30.733791,"POLYGON ((103.9811073 30.7245751, 103.9780593 30.72584, 103.976442 30.7275061, 103.9735754 30.7305598, 103.9791925 30.7325966, 103.9794669 30.732693, 103.9795603 30.7327248, 103.9798657 30.7328249, 103.9847931 30.7311491, 103.9822911 30.7258702, 103.9811073 30.7245751))"
1,成都外国语学校教师公寓,金牛区,103.979073,30.733828,"POLYGON ((103.9780593 30.72584, 103.976442 30.7275061, 103.9735754 30.7305598, 103.9791925 30.7325966, 103.9794669 30.732693, 103.9795603 30.7327248, 103.9798657 30.7328249, 103.9847931 30.7311491, 103.9822911 30.7258702, 103.9780593 30.72584))"
2,书香府邸2期英伦,金牛区,103.977163,30.733574,"POLYGON ((103.9811073 30.7245751, 103.9780593 30.72584, 103.976442 30.7275061, 103.9735754 30.7305598, 103.9791925 30.7325966, 103.9794669 30.732693, 103.9795603 30.7327248, 103.9798657 30.7328249, 103.9847931 30.7311491, 103.9822911 30.7258702, 103.9811073 30.7245751))"
3,书香府邸1期,金牛区,103.976486,30.734863,"POLYGON ((103.9811073 30.7245751, 103.9780593 30.72584, 103.976442 30.7275061, 103.9735754 30.7305598, 103.9791925 30.7325966, 103.9794669 30.732693, 103.9795603 30.7327248, 103.9798657 30.7328249, 103.9847931 30.7311491, 103.9822911 30.7258702, 103.9811073 30.7245751))"
4,中铁·塔米亚2期美邻(正门),金牛区,103.992674,30.731365,"POLYGON ((104.0010428 30.7218322, 103.9971549 30.7226172, 103.9943695 30.7292114, 104.003528 30.7269661, 104.0010428 30.7218322))"
5,兴盛世家,金牛区,104.008083,30.733476,"POLYGON ((104.0112251 30.7249503, 104.0054381 30.7251115, 104.0052462 30.7251616, 104.003528 30.7269661, 104.002725 30.7279221, 103.9995278 30.7325893, 104.0053554 30.7370893, 104.0158165 30.7370157, 104.0163813 30.7360779, 104.0161499 30.7337914, 104.0137088 30.7266472, 104.0112251 30.7249503))"
6,兴盛世家D区,金牛区,104.013211,30.733686,"POLYGON ((104.0112251 30.7249503, 104.0091012 30.7253262, 104.0068057 30.7258252, 104.003528 30.7269661, 104.0052408 30.7369783, 104.0053554 30.7370893, 104.0158165 30.7370157, 104.0202557 30.7339561, 104.0205679 30.7335972, 104.0192309 30.7299997, 104.0153864 30.7249983, 104.0112251 30.7249503))"
7,兴盛世家B区,金牛区,104.010074,30.731881,"POLYGON ((104.0071113 30.7259242, 104.0068515 30.7259857, 104.0030311 30.7304396, 104.0020204 30.7395299, 104.0021514 30.7395853, 104.0075091 30.7390769, 104.0158165 30.7370157, 104.018886 30.7336758, 104.0190103 30.7332902, 104.0137088 30.7266472, 104.0071113 30.7259242))"
8,兴盛世家C区,金牛区,104.011142,30.734885,"POLYGON ((104.0122802 30.7315492, 104.0078173 30.7321394, 104.0011263 30.7397287, 104.0014615 30.7399728, 104.0061662 30.7430715, 104.0112408 30.7425361, 104.0194807 30.7336305, 104.0192945 30.7332957, 104.0191346 30.7331856, 104.0187075 30.7330696, 104.0122802 30.7315492))"
9,侯家花园,金牛区,104.009538,30.737975,"POLYGON ((104.0122802 30.7315492, 104.0078173 30.7321394, 104.0011263 30.7397287, 104.0014615 30.7399728, 104.0061662 30.7430715, 104.0112408 30.7425361, 104.0194807 30.7336305, 104.0192945 30.7332957, 104.0191346 30.7331856, 104.0187075 30.7330696, 104.0122802 30.7315492))"
