name,category,type,district,wgs_lng,wgs_lat
颐都府餐厅,catering,餐饮服务;中餐厅;中餐厅,金牛区,103.971384,30.73096
庞太师面馆,catering,餐饮服务;中餐厅;中餐厅,金牛区,103.973802,30.734105
高新皇冠假日酒店自助餐,catering,餐饮服务;外国餐厅;外国餐厅,金牛区,103.971472,30.731042
黄焖鸡米饭(高新西店),catering,餐饮服务;快餐厅;快餐厅,金牛区,103.972741,30.732718
V.CAFE,catering,餐饮服务;冷饮店;冷饮店,金牛区,103.972813,30.732817
餐饮中餐,catering,餐饮服务;中餐厅;中餐厅,金牛区,103.971674,30.731028
琦缘绵阳米粉,catering,餐饮服务;中餐厅;中餐厅,金牛区,103.97379,30.734148
刘记砂锅串串(天目路),catering,餐饮服务;中餐厅;火锅店,金牛区,103.974268,30.734273
宜宾燃面(天目路),catering,餐饮服务;中餐厅;中餐厅,金牛区,103.974491,30.733777
私房牛肉面,catering,餐饮服务;中餐厅;中餐厅,金牛区,103.973998,30.733683
姐妹奶咖,catering,餐饮服务;冷饮店;冷饮店,金牛区,103.974237,30.734236
川魂帽牌货冒菜(保利香槟店),catering,餐饮服务;中餐厅;中餐厅,金牛区,103.974218,30.734223
诺心(成都三店),catering,餐饮服务;糕饼店;糕饼店,金牛区,103.974143,30.733424
纳溪面庄,catering,餐饮服务;中餐厅;中餐厅,金牛区,103.974065,30.733265
小君肝串串香(犀浦店),catering,餐饮服务;中餐厅;中餐厅,金牛区,103.97481,30.734232
庞太师面馆,catering,餐饮服务;中餐厅;中餐厅,金牛区,103.973802,30.734105
牛杂火锅·羊肉汤,catering,餐饮服务;中餐厅;火锅店,金牛区,103.981559,30.73297
何小何,catering,餐饮服务;咖啡厅;咖啡厅,金牛区,103.973873,30.734012
三峡烤鱼,catering,餐饮服务;中餐厅;特色/地方风味餐厅,金牛区,103.981978,30.733326
金川老字号烧烤,catering,餐饮服务;中餐厅;特色/地方风味餐厅,金牛区,103.974892,30.734098
印象奶咖,catering,餐饮服务;冷饮店;冷饮店,金牛区,103.977903,30.73428
巴山豆花饭,catering,餐饮服务;中餐厅;中餐厅,金牛区,103.97432,30.733585
鲜砂锅,catering,餐饮服务;中餐厅;中餐厅,金牛区,103.974275,30.733966
一招鄉火锅冒菜,catering,餐饮服务;中餐厅;中餐厅,金牛区,103.973833,30.734107
康康烘焙屋,catering,餐饮服务;糕饼店;糕饼店,金牛区,103.992052,30.731394
土豪面(中铁·塔米亚东南),catering,餐饮服务;中餐厅;中餐厅,金牛区,103.992102,30.731393
美心每客,catering,餐饮服务;中餐厅;中餐厅,金牛区,103.992147,30.731131
放心包点(中铁·塔米亚东南),catering,餐饮服务;中餐厅;中餐厅,金牛区,103.992292,30.731229
眼镜家常菜(全兴路),catering,餐饮服务;中餐厅;中餐厅,金牛区,104.000023,30.73312
周师饭店,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.001312,30.730405
蒲志高刀削面馆,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.000427,30.733655
上海周记蛋糕店,catering,餐饮服务;糕饼店;糕饼店,金牛区,104.012395,30.732041
厦门蛋糕房(土桥店),catering,餐饮服务;糕饼店;糕饼店,金牛区,104.009338,30.733344
Sweet oN仙草の屋(盛金路店),catering,餐饮服务;冷饮店;冷饮店,金牛区,104.012509,30.731991
馄饨大王(兴盛店),catering,餐饮服务;中餐厅;中餐厅,金牛区,104.009363,30.733491
乡菜馆(盛兴路店),catering,餐饮服务;中餐厅;中餐厅,金牛区,104.008462,30.732609
巴嘴香(侯家桥二街),catering,餐饮服务;中餐厅;中餐厅,金牛区,104.009078,30.737976
老土桥干香面,catering,餐饮服务;快餐厅;快餐厅,金牛区,104.007809,30.73253
饺面馆,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.008498,30.731842
青龙场温鸭子(兴盛店),catering,餐饮服务;中餐厅;中餐厅,金牛区,104.011741,30.731395
任意门蛋糕烘焙,catering,餐饮服务;糕饼店;糕饼店,金牛区,104.008395,30.733416
斗城老妈砂锅串串(盛兴店),catering,餐饮服务;中餐厅;中餐厅,金牛区,104.010762,30.733648
辛肥肠,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.007261,30.738617
冯记串串香(盛兴路),catering,餐饮服务;中餐厅;中餐厅,金牛区,104.010691,30.733599
何三三香辣火锅兔,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.013004,30.732685
盛香园,catering,餐饮服务;茶艺馆;茶艺馆,金牛区,104.011795,30.731797
8090后串串(土桥F店),catering,餐饮服务;中餐厅;中餐厅,金牛区,104.01066,30.733518
何三三,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.006893,30.733144
墨池苑(金牛店),catering,餐饮服务;中餐厅;中餐厅,金牛区,104.0074,30.738767
传味鲜兔火锅,catering,餐饮服务;中餐厅;火锅店,金牛区,104.008065,30.733677
方记鲜兔头,catering,餐饮服务;中餐厅;中餐厅,金牛区,104.007653,30.734009
紫藤缘茶坊,catering,餐饮服务;茶艺馆;茶艺馆,金牛区,104.012787,30.732013
六和茶楼(盛兴路),catering,餐饮服务;茶艺馆;茶艺馆,金牛区,104.010438,30.733751
欣怡糕点,catering,餐饮服务;糕饼店;糕饼店,金牛区,104.011575,30.731854
重庆美味鲜冷锅鱼,catering,餐饮服务;中餐厅;海鲜酒楼,金牛区,104.007879,30.733631
重庆龙铭佬火锅(盛兴路),catering,餐饮服务;中餐厅;火锅店,金牛区,104.007675,30.733962
伊金园,catering,餐饮服务;中餐厅;清真菜馆,金牛区,104.00908,30.737935
七婆串串香(兴盛店),catering,餐饮服务;中餐厅;火锅店,金牛区,104.008541,30.732946
园林火锅,catering,餐饮服务;中餐厅;火锅店,金牛区,104.010933,30.729584
味美轩川菜馆,catering,餐饮服务;中餐厅;四川菜(川菜),金牛区,104.008416,30.734423
杨氏烧鸭馆,catering,餐饮服务;中餐厅;特色/地方风味餐厅,金牛区,104.008278,30.73282
真味包点,catering,餐饮服务;快餐厅;快餐厅,金牛区,104.011155,30.733692
