name,category,type,district,wgs_lng,wgs_lat
小象艺术,edu,科教文化服务;美术馆;美术馆,金牛区,103.973672,30.733908
成都高新皇冠假日酒店-会议厅,edu,科教文化服务;会展中心;会展中心,金牛区,103.971674,30.731028
I2国际私塾,edu,科教文化服务;培训机构;培训机构,金牛区,103.978115,30.733589
优佳成长教育,edu,科教文化服务;培训机构;培训机构,金牛区,103.977831,30.734346
I2国际私塾(百草路东),edu,科教文化服务;培训机构;培训机构,金牛区,103.977781,30.734455
无忧教育,edu,科教文化服务;培训机构;培训机构,金牛区,103.974192,30.734197
成实外教育培训学校,edu,科教文化服务;培训机构;培训机构,金牛区,103.974352,30.734367
五粮村幼儿园(建设中),edu,科教文化服务;学校;幼儿园,金牛区,103.992679,30.732208
成都千盛文化传播有限公司,edu,科教文化服务;传媒机构;传媒机构,金牛区,103.99853,30.73187
西华街道综合文化活动室,edu,科教文化服务;文化宫;文化宫,金牛区,104.013335,30.73234
兴盛小学校,edu,科教文化服务;学校;小学,金牛区,104.013617,30.732121
成都市金牛区美乐思幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.008262,30.732198
谭颖舞蹈艺术,edu,科教文化服务;美术馆;美术馆,金牛区,104.007613,30.73879
童画镇文艺工作室,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.009292,30.737883
领跑艺体,edu,科教文化服务;培训机构;培训机构,金牛区,104.013217,30.732232
悦音艺校(盛金路),edu,科教文化服务;培训机构;培训机构,金牛区,104.013217,30.732232
美家教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.007578,30.738819
轩艺艺校,edu,科教文化服务;培训机构;培训机构,金牛区,104.013217,30.732232
戴氏教育(兴盛总校),edu,科教文化服务;培训机构;培训机构,金牛区,104.012359,30.73221
翰林名师教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.013217,30.732232
泛美英语,edu,科教文化服务;培训机构;培训机构,金牛区,104.013217,30.732232
成都七中万达学校,edu,科教文化服务;学校;中学,金牛区,104.016897,30.733264
