name,category,type,district,wgs_lng,wgs_lat
中国平安保险(集团)股份有限公司(资源整合服务部),finance,金融保险服务;保险公司;中国平安保险公司,金牛区,103.974974,30.734351
中国民生银行24小时自助银行(百草路东),finance,金融保险服务;自动提款机;中国民生银行ATM,金牛区,103.977993,30.734226
中国建设银行(天目路储蓄所),finance,金融保险服务;银行;中国建设银行,金牛区,103.9744,30.734431
中国建设银行24小时自助银行(天目路储蓄所),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,103.9744,30.734431
中国银行ATM(天目路),finance,金融保险服务;自动提款机;中国银行ATM,金牛区,103.974774,30.733922
中国银行金惠家,finance,金融保险服务;银行相关;银行相关,金牛区,103.974732,30.734134
中国工商银行(盛兴路分理处),finance,金融保险服务;银行;中国工商银行,金牛区,104.010693,30.733483
中国建设银行24小时自助银行(盛金路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,104.013169,30.732197
中国工商银行24小时自助银行(盛兴路分理处),finance,金融保险服务;自动提款机;中国工商银行ATM,金牛区,104.010675,30.733483
中国邮政储蓄银行(府河星城支行),finance,金融保险服务;银行;中国邮政储蓄银行,金牛区,104.022822,30.731199
成都银行24小时自助银行(盛安街),finance,金融保险服务;自动提款机;自动提款机,金牛区,104.016536,30.733233
中国邮政储蓄银行24小时自助银行(府河星城支行),finance,金融保险服务;自动提款机;中国邮政储蓄银行ATM,金牛区,104.022862,30.73113
兴业银行ATM(府河苑横路),finance,金融保险服务;自动提款机;兴业银行ATM,金牛区,104.025918,30.732744
中国建设银行ATM(府河苑横路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,104.026269,30.732918
中国建设银行ATM(洞两公路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,104.041155,30.739145
中国工商银行(成都建机厂分理处),finance,金融保险服务;银行;中国工商银行,金牛区,104.051605,30.735175
中国建设银行ATM(川建路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,104.052525,30.735183
中国建设银行24小时自助银行,finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,104.047352,30.729811
成都银行24小时自助银行(量力支行),finance,金融保险服务;自动提款机;自动提款机,金牛区,104.046573,30.729938
中国工商银行24小时自助银行,finance,金融保险服务;自动提款机;中国工商银行ATM,金牛区,104.05231,30.729687
中国工商银行24小时自助银行(成都建机厂分理处),finance,金融保险服务;自动提款机;中国工商银行ATM,金牛区,104.051605,30.735175
中国农业银行(量力支行),finance,金融保险服务;银行;中国农业银行,金牛区,104.047225,30.730166
成都银行(量力支行),finance,金融保险服务;银行;银行,金牛区,104.046378,30.729869
中国农业银行ATM(量力支行),finance,金融保险服务;自动提款机;中国农业银行ATM,金牛区,104.047044,30.73014
成都农商银行24小时自助银行(钢材城支行),finance,金融保险服务;自动提款机;农村商业银行ATM,金牛区,104.047128,30.731591
成都农商银行(钢材城支行),finance,金融保险服务;银行;农村商业银行,金牛区,104.047128,30.731591
建设银行ATM24小时自助银行服务,finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,104.059515,30.729668
成都农商银行(友联分理处),finance,金融保险服务;银行;农村商业银行,金牛区,104.056133,30.734807
中国建设银行ATM(朗润路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,104.059618,30.729709
成都农商银行ATM(友联分理处),finance,金融保险服务;自动提款机;农村商业银行ATM,金牛区,104.056133,30.734807
华夏银行24小时自助银行(朗润路),finance,金融保险服务;自动提款机;华夏银行ATM,金牛区,104.059634,30.733899
中国银行ATM(熊猫大道),finance,金融保险服务;自动提款机;中国银行ATM,成华区,104.144019,30.735112
24h自助银行服务,finance,金融保险服务;自动提款机;自动提款机,金牛区,103.978968,30.723784
中国建设银行24小时自助银行(土龙路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,103.980247,30.720465
中国银行(中海国际社区支行),finance,金融保险服务;银行;中国银行,金牛区,103.974298,30.726453
中国建设银行(中海国际社区储蓄所),finance,金融保险服务;银行;中国建设银行,金牛区,103.977603,30.723473
中国工商银行(蜀西路支行),finance,金融保险服务;银行;中国工商银行,金牛区,103.978995,30.723738
中国建设银行24小时自助银行(中海国际社区储蓄所),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,103.977603,30.723473
中国银行24小时自助银行(成都中海国际社区支行),finance,金融保险服务;自动提款机;中国银行ATM,金牛区,103.974351,30.726358
南充市商业银行(中海国际社区支行),finance,金融保险服务;银行;银行,金牛区,103.979319,30.722403
兴业银行(中海国际社区支行),finance,金融保险服务;银行;兴业银行,金牛区,103.978531,30.723478
中国光大银行(成都中海社区支行),finance,金融保险服务;银行;中国光大银行,金牛区,103.978903,30.722747
