name,category,type,district,wgs_lng,wgs_lat
成都高新区政务服务中心(西区),government,政府机构及社会团体;政府机关;区县级政府及事业单位,金牛区,103.973579,30.732387
高新西区财政局,government,政府机构及社会团体;政府机关;区县级政府及事业单位,金牛区,103.973542,30.732334
南站政务中心,government,政府机构及社会团体;政府及社会团体相关;政府及社会团体相关,金牛区,103.973385,30.732593
政务服务中心地税局,government,政府机构及社会团体;工商税务机构;地税机关,金牛区,103.973577,30.732387
郫县犀浦镇犀牛社区委员会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位|政府机构及社会团体;政府机关;区县级政府及事业单位,金牛区,103.975611,30.734406
五粮村村民委员会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,103.982701,30.732499
中共五粮村支部委员会(新里·派克公馆西南),government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,103.982701,30.732499
金泉街道涧漕社区,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,103.999904,30.732595
涧漕社区居委会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,103.999902,30.732595
环洋展柜制造有限公司工会委员会,government,政府机构及社会团体;社会团体;社会团体相关,金牛区,103.99868,30.736896
金泉派出所涧漕村警务室,government,政府机构及社会团体;公检法机构;社会治安机构,金牛区,103.999904,30.732595
西华街道涧漕社区居民议事会,government,政府机构及社会团体;社会团体;社会团体相关,金牛区,103.999902,30.732595
金牛区金牛乡涧漕河工会联合会,government,政府机构及社会团体;社会团体;社会团体相关,金牛区,103.999904,30.732595
中共涧漕社区总支部委员会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,103.999902,30.732595
金泉街办涧漕社区环卫清扫队,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,103.999904,30.732595
兴盛世家社区居委会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,104.013335,30.73234
罗家村委办事处,government,政府机构及社会团体;政府及社会团体相关;政府及社会团体相关,金牛区,104.013237,30.732605
涧漕河村治安执勤点,government,政府机构及社会团体;公检法机构;社会治安机构,金牛区,104.004381,30.735716
四川省康复服务公益协会(盛金路),government,政府机构及社会团体;社会团体;行业协会,金牛区,104.013217,30.732232
西华街道兴盛世家老年协会花鸟分会,government,政府机构及社会团体;社会团体;行业协会,金牛区,104.007446,30.734364
中共兴盛世家社区委员会,government,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,金牛区,104.01315,30.732429
社区劳动保障工作站,government,政府机构及社会团体;政府机关;政府机关相关,金牛区,104.019228,30.73265
西华街道办事处(府河苑横路),government,政府机构及社会团体;政府机关;乡镇级政府及事业单位,金牛区,104.023465,30.730449
