name,category,type,district,wgs_lng,wgs_lat
顶新造型,life,生活服务;美容美发店;美容美发店,金牛区,103.973779,30.734127
万科城销售中心,life,生活服务;生活服务场所;生活服务场所,金牛区,103.972478,30.732825
万科城售楼部,life,生活服务;生活服务场所;生活服务场所,金牛区,103.972412,30.732745
绚诺soho(百草路店),life,生活服务;美容美发店;美容美发店,金牛区,103.976587,30.734743
玛丽艳千年古方熏蒸养生馆(林桐店),life,生活服务;美容美发店;美容美发店,金牛区,103.975983,30.733862
顶头尚丝(金粮路),life,生活服务;美容美发店;美容美发店,金牛区,103.982067,30.732988
造艺烫染美发,life,生活服务;美容美发店;美容美发店,金牛区,103.974862,30.73411
玛丽艳美容养生馆(天目路),life,生活服务;美容美发店;美容美发店,金牛区,103.974822,30.734245
深粤装饰,life,生活服务;生活服务场所;生活服务场所,金牛区,103.978306,30.733322
唐三姐换拉链,life,生活服务;生活服务场所;生活服务场所,金牛区,103.982054,30.732982
澳洁干洗(英伦店),life,生活服务;洗衣店;洗衣店,金牛区,103.974921,30.734088
诗丽堂美容美体(天目路),life,生活服务;美容美发店;美容美发店,金牛区,103.974426,30.733706
布兰奇洗衣·奢侈品护理,life,生活服务;洗衣店;洗衣店,金牛区,103.974314,30.734329
雅兰阁美容养生馆英伦店,life,生活服务;美容美发店;美容美发店,金牛区,103.974367,30.733531
静逸堂功夫肩颈(雅兰阁美容美体犀浦店),life,生活服务;美容美发店;美容美发店,金牛区,103.974265,30.733578
衣卫士洗衣(新里派克公馆店),life,生活服务;洗衣店;洗衣店,金牛区,103.976828,30.730894
1+1洗衣(保利店),life,生活服务;洗衣店;洗衣店,金牛区,103.973873,30.734069
11洗衣,life,生活服务;洗衣店;洗衣店,金牛区,103.973856,30.734063
中国电信(天目路营业厅),life,生活服务;电讯营业厅;中国电信营业厅,金牛区,103.974292,30.734307
龙成御足,life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,103.974111,30.7334
Andy造型工作室,life,生活服务;美容美发店;美容美发店,金牛区,103.99216,30.731373
花儿姐韩式半永久私人定制,life,生活服务;美容美发店;美容美发店,金牛区,103.989915,30.730033
诗美诗格美容院,life,生活服务;生活服务场所;生活服务场所,金牛区,103.991372,30.73044
tt造型,life,生活服务;生活服务场所;生活服务场所,金牛区,103.991832,30.73106
举手之劳·盲人按摩,life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,103.984639,30.733895
千惠抗衰养生中心,life,生活服务;生活服务场所;生活服务场所,金牛区,103.990951,30.729965
百江燃气西华第(12)便民服务点,life,生活服务;生活服务场所;生活服务场所,金牛区,104.000553,30.733683
国通快递,life,生活服务;物流速递;物流速递,金牛区,104.001081,30.734482
全峰快递(全兴路),life,生活服务;物流速递;物流速递,金牛区,104.001038,30.734599
吉利印务广告,life,生活服务;生活服务场所;生活服务场所,金牛区,104.001078,30.734641
工字白铁加工,life,生活服务;生活服务场所;生活服务场所,金牛区,104.001778,30.735813
蜀东水站,life,生活服务;生活服务场所;生活服务场所,金牛区,104.000449,30.733715
电脑雕刻喷砂,life,生活服务;生活服务场所;生活服务场所,金牛区,103.997694,30.733192
鼎盛雕刻,life,购物服务;家居建材市场;建材五金市场|生活服务;生活服务场所;生活服务场所,金牛区,103.996066,30.73483
顺达机械加工,life,生活服务;生活服务场所;生活服务场所,金牛区,103.999902,30.732834
小邓专业维修(全兴路),life,生活服务;维修站点;维修站点,金牛区,104.002519,30.736911
名流发艺形象设计工作室,life,生活服务;美容美发店;美容美发店,金牛区,104.000224,30.733325
雅娴妆扮化妆美容(土桥店),life,生活服务;美容美发店;美容美发店,金牛区,104.009435,30.733714
加工新旧棉絮,life,生活服务;生活服务场所;生活服务场所,金牛区,104.008727,30.734156
圆通速递兴盛世家分部,life,生活服务;物流速递;物流速递,金牛区,104.008865,30.733886
丽莎SPA专业女子养生会馆,life,生活服务;美容美发店;美容美发店,金牛区,104.008264,30.733515
四姊妹美容美发,life,生活服务;美容美发店;美容美发店,金牛区,104.008348,30.733454
罗姐专业美发(盛兴路),life,生活服务;美容美发店;美容美发店,金牛区,104.00845,30.733379
潮流前线烫染店,life,生活服务;美容美发店;美容美发店,金牛区,104.008577,30.733274
天资佳人生活养生理疗馆,life,生活服务;美容美发店;美容美发店,金牛区,104.008858,30.73284
古尚丽辰,life,生活服务;美容美发店;美容美发店,金牛区,104.008752,30.732766
花容月貌专业美容养生馆,life,生活服务;美容美发店;美容美发店,金牛区,104.008415,30.73259
时尚美廉发屋,life,生活服务;美容美发店;美容美发店,金牛区,104.007244,30.732846
理发(盛达街西),life,生活服务;美容美发店;美容美发店,金牛区,104.006753,30.732438
阿龙美发工作室(盛达街西),life,生活服务;美容美发店;美容美发店,金牛区,104.008711,30.731702
刻章广告,life,生活服务;生活服务场所;生活服务场所,金牛区,104.008754,30.73404
鸿兴广告(盛发街),life,生活服务;生活服务场所;生活服务场所,金牛区,104.008947,30.734076
四川吕骏速递有限公司(土桥营业部),life,生活服务;物流速递;物流速递,金牛区,104.008094,30.734021
蜀新驾校报名点(盛发街),life,生活服务;生活服务场所;生活服务场所,金牛区,104.009177,30.733905
长征驾校报名处,life,生活服务;生活服务场所;生活服务场所,金牛区,104.00929,30.733803
金喜来电脑(盛发街),life,生活服务;维修站点;维修站点,金牛区,104.009308,30.733784
阳光足疗,life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.007849,30.733656
鑫兴通讯,life,生活服务;维修站点;维修站点,金牛区,104.009389,30.733561
老苗医(盛兴路),life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.009343,30.733394
成都金信物业管理有限责任公司(兴盛世家服务中心),life,生活服务;生活服务场所;生活服务场所,金牛区,104.0088,30.733113
家电维修,life,生活服务;维修站点;维修站点,金牛区,104.008716,30.733173
成都金信物业管理有限责任公司客户服务中心,life,生活服务;生活服务场所;生活服务场所,金牛区,104.008888,30.732869
蜂巢快递,life,生活服务;生活服务场所;生活服务场所,金牛区,104.010691,30.733599
菜鸟驿站(成都兴盛世家快递服务站),life,生活服务;物流速递;物流速递,金牛区,104.011168,30.734327
鸿康足道(盛达街西),life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.007219,30.732878
玉霞按摩(盛达街西),life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.007283,30.732819
周氏专业按摩(盛达街西),life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.007402,30.732721
菜鸟驿站(兴盛世家C区大门内侧右边),life,生活服务;物流速递;物流速递,金牛区,104.01121,30.734892
泰昶驾校报名点(盛达街西),life,生活服务;生活服务场所;生活服务场所,金牛区,104.00856,30.731809
中医疼痛理疗、穴位按摩,life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.008651,30.731765
刘二哥修理店,life,生活服务;维修站点;维修站点,金牛区,104.008674,30.731744
康闲正规专业按摩,life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.008689,30.731719
金盾驾校报名点,life,生活服务;生活服务场所;生活服务场所,金牛区,104.011881,30.734778
脊椎梳理(盛兴店),life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.01239,30.734503
琼艺婚纱婚庆,life,生活服务;生活服务场所;生活服务场所,金牛区,104.011574,30.731968
领尚造型(盛发街),life,生活服务;美容美发店;美容美发店,金牛区,104.011619,30.731925
廖记榨油房,life,生活服务;生活服务场所;生活服务场所,金牛区,104.012596,30.732685
时尚空间(盛发街),life,生活服务;美容美发店;美容美发店,金牛区,104.012286,30.732124
标榜(兴盛店),life,生活服务;美容美发店;美容美发店,金牛区,104.013253,30.735201
蜀安驾校报名处,life,生活服务;生活服务场所;生活服务场所,金牛区,104.012495,30.732049
蜀安驾校报名点(盛金路),life,生活服务;生活服务场所;生活服务场所,金牛区,104.012479,30.732014
八一家电制冷维修(盛兴路),life,生活服务;维修站点;维修站点,金牛区,104.013401,30.735321
金牛区兴盛生活垃圾压缩站,life,生活服务;生活服务场所;生活服务场所,金牛区,104.012996,30.732108
顺风速运(盛兴路),life,生活服务;物流速递;物流速递,金牛区,104.01352,30.73539
公交驾校报名点(侯家桥二街),life,生活服务;生活服务场所;生活服务场所,金牛区,104.007736,30.738704
电脑维修广告制作打字复印照相,life,生活服务;生活服务场所;生活服务场所,金牛区,104.013655,30.735511
蜀安驾校,life,生活服务;生活服务场所;生活服务场所,金牛区,104.013663,30.735515
成都市318信箱,life,生活服务;生活服务场所;生活服务场所,金牛区,104.005302,30.730544
中国电信(兴盛营业厅),life,生活服务;电讯营业厅;中国电信营业厅,金牛区,104.008689,30.732789
中国联通(盛兴路合作营业厅),life,生活服务;电讯营业厅;中国联通营业厅,金牛区,104.00822,30.733559
中国福利彩票,life,生活服务;彩票彩券销售点;彩票彩券销售点,金牛区,104.009294,30.733804
中国福利彩票,life,生活服务;彩票彩券销售点;彩票彩券销售点,金牛区,104.012315,30.732107
中国移动(鑫兴通讯),life,生活服务;电讯营业厅;电讯营业厅,金牛区,104.009345,30.733368
奥达摄影,life,生活服务;摄影冲印店;摄影冲印,金牛区,104.009212,30.733875
米兰洗衣(盛发街),life,生活服务;洗衣店;洗衣店,金牛区,104.009243,30.733837
靓丽干洗(兴盛店),life,生活服务;洗衣店;洗衣店,金牛区,104.008523,30.733674
洁神干洗店,life,生活服务;洗衣店;洗衣店,金牛区,104.013211,30.733686
快递铺,life,生活服务;生活服务场所;生活服务场所,金牛区,104.013211,30.733686
唯品会快递,life,生活服务;物流速递;物流速递,金牛区,104.008262,30.733324
茗艺造型(金鑫大道),life,生活服务;美容美发店;美容美发店,金牛区,104.019283,30.734332
中铁现代物流(成都配送中心),life,生活服务;物流速递;物流速递,金牛区,104.01941,30.735876
小吴机械加工,life,生活服务;生活服务场所;生活服务场所,金牛区,104.018052,30.736536
伟中机械加工,life,生活服务;生活服务场所;生活服务场所,金牛区,104.020101,30.732729
专业按摩(金芙蓉大道),life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.022145,30.734664
理疗按摩(盛安街),life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.014779,30.735321
蓝光矿泉水,life,生活服务;生活服务场所;生活服务场所,金牛区,104.020243,30.73775
民大驾校报名点(金鑫大道),life,生活服务;生活服务场所;生活服务场所,金牛区,104.017203,30.738034
中医推拿馆(万人小区店),life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.0142,30.735466
燕燕洗脚坊,life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.016688,30.738116
中通快递(兴盛世家分部),life,生活服务;物流速递;物流速递,金牛区,104.013999,30.735363
创艺美容美发(盛兴路),life,生活服务;美容美发店;美容美发店,金牛区,104.013856,30.735556
菜鸟驿站(移动兴盛世家厅610036810),life,生活服务;物流速递;物流速递,金牛区,104.013692,30.734102
四川省蜀安驾校报名点(盛兴路),life,生活服务;生活服务场所;生活服务场所,金牛区,104.01381,30.735531
24小时自助服务,life,生活服务;生活服务场所;生活服务场所,金牛区,104.022619,30.731371
蜀安驾校,life,生活服务;生活服务场所;生活服务场所,金牛区,104.013663,30.735515
红光红旗配送中心,life,生活服务;物流速递;物流速递,金牛区,104.01913,30.729948
子云美发,life,生活服务;美容美发店;美容美发店,金牛区,104.016214,30.73856
菜鸟驿站(移动府河星城社区厅610081705),life,生活服务;物流速递;物流速递,金牛区,104.023119,30.731846
四川蜀新驾校报名点,life,生活服务;生活服务场所;生活服务场所,金牛区,104.01796,30.72977
兴盛理发店,life,生活服务;美容美发店;美容美发店,金牛区,104.016246,30.739
兴盛废品收购站(金青路),life,生活服务;生活服务场所;生活服务场所,金牛区,104.017604,30.729484
成都沃特供水机械租赁公司,life,生活服务;生活服务场所;生活服务场所,金牛区,104.021583,30.730008
中国电信电视宽带手机(府河星城服务中心),life,生活服务;生活服务场所;生活服务场所,金牛区,104.023265,30.73081
欢乐堂专业通乳,life,生活服务;生活服务场所;生活服务场所,金牛区,104.022951,30.730659
安然纳米汗蒸馆(府河星城店),life,生活服务;洗浴推拿场所;洗浴推拿场所,金牛区,104.023556,30.731241
爱尚美甲,life,生活服务;美容美发店;美容美发店,金牛区,104.023238,30.730884
陶师维修服务中心,life,生活服务;维修站点;维修站点,金牛区,104.01606,30.738715
中国电信(府河星城营业厅),life,生活服务;电讯营业厅;中国电信营业厅,金牛区,104.022399,30.731709
飞山机械线切割,life,购物服务;专卖店;专营店|生活服务;生活服务场所;生活服务场所,金牛区,104.018129,30.73638
小李电动车,life,生活服务;维修站点;维修站点,金牛区,104.020083,30.737736
长久通讯店,life,购物服务;家电电子卖场;手机销售|生活服务;电讯营业厅;电讯营业厅,金牛区,104.016468,30.738809
王师电动车维修部(金芙蓉大道),life,生活服务;维修站点;维修站点,金牛区,104.021506,30.734336
