name,category,type,district,wgs_lng,wgs_lat
郫县王城诊所,medical,医疗保健服务;诊所;诊所,金牛区,103.974956,30.734074
郫县浩民诊所,medical,医疗保健服务;诊所;诊所,金牛区,103.97809,30.733631
英伦诊所,medical,医疗保健服务;诊所;诊所,金牛区,103.97498,30.734029
九华医药(天目药房),medical,医疗保健服务;医药保健销售店;药房,金牛区,103.974808,30.733908
嘉康诊所,medical,医疗保健服务;诊所;诊所,金牛区,103.974132,30.734132
天仁堂大药房(塔米亚药房),medical,医疗保健服务;医药保健销售店;药房,金牛区,103.992215,30.731174
太极大药房(中铁·塔米亚东南),medical,医疗保健服务;医药保健销售店;药房,金牛区,103.991889,30.731447
极品伟哥店,medical,医疗保健服务;医药保健销售店;医疗保健用品,金牛区,104.002553,30.736698
兴盛世家社区卫生服务站,medical,医疗保健服务;综合医院;卫生院,金牛区,104.013485,30.732373
四川七彩阳光康复服务中心(盛金路),medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,104.013217,30.732232
百信药业(金牛亿生康店),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.011094,30.733821
金牛蜀都诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.011904,30.731652
金牛区西华街道侯家社区卫生站,medical,医疗保健服务;诊所;诊所,金牛区,104.009712,30.737458
侯家桥村卫生站,medical,医疗保健服务;诊所;诊所,金牛区,104.009769,30.737387
予康诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.011419,30.733982
金牛国诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.011857,30.738928
蜀汉杏林诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.009313,30.73311
谢氏吉兴诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.008874,30.734108
希望诊所(盛金路),medical,医疗保健服务;诊所;诊所,金牛区,104.010814,30.73123
显毅诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.007832,30.732574
天乐药房(欣瑞药店),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.008546,30.734353
向氏艾炙堂,medical,医疗保健服务;医疗保健服务场所;医疗保健服务场所,金牛区,104.00798,30.734094
壹生康大药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.011209,30.733719
春生堂大药房(本草堂店),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.011229,30.733808
三叶草大药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.01132,30.733937
老苗医养生堂,medical,医疗保健服务;医药保健销售店;医疗保健用品,金牛区,104.009358,30.733442
欣瑞药店,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.008764,30.734468
壶春堂药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.007285,30.738638
星瑞仁家健康家园(盛兴路店),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.007729,30.733927
无限极(盛兴路店),medical,医疗保健服务;医药保健销售店;医疗保健用品,金牛区,104.013763,30.735506
金牛华卫诊所(盛兴路),medical,医疗保健服务;诊所;诊所,金牛区,104.014009,30.735377
瑞铭康诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.022097,30.731988
金牛区青杠兴盛村卫生站,medical,医疗保健服务;诊所;诊所,金牛区,104.013702,30.735463
金牛明明诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.01475,30.735363
