name,category,type,district,wgs_lng,wgs_lat
英伦书香府邸2期,residential,商务住宅;住宅区;住宅小区,金牛区,103.976437,30.733791
成都外国语学校教师公寓,residential,商务住宅;住宅区;住宅小区,金牛区,103.979073,30.733828
书香府邸2期英伦,residential,商务住宅;住宅区;住宅小区,金牛区,103.977163,30.733574
书香府邸1期,residential,商务住宅;住宅区;住宅小区,金牛区,103.976486,30.734863
中铁·塔米亚2期美邻(正门),residential,商务住宅;住宅区;住宅小区,金牛区,103.992674,30.731365
兴盛世家,residential,商务住宅;住宅区;住宅小区,金牛区,104.008083,30.733476
兴盛世家D区,residential,商务住宅;住宅区;住宅小区,金牛区,104.013211,30.733686
兴盛世家B区,residential,商务住宅;住宅区;住宅小区,金牛区,104.010074,30.731881
兴盛世家C区,residential,商务住宅;住宅区;住宅小区,金牛区,104.011142,30.734885
侯家花园,residential,商务住宅;住宅区;住宅小区,金牛区,104.009538,30.737975
西华街道兴盛世家社区,residential,商务住宅;住宅区;住宅小区,金牛区,104.013172,30.732442
兴盛世家A区西区,residential,商务住宅;住宅区;住宅小区,金牛区,104.007715,30.733247
兴盛世家A区东区,residential,商务住宅;住宅区;住宅小区,金牛区,104.00865,30.733886
侯家桥二街38号大院,residential,商务住宅;住宅区;住宅区,金牛区,104.009343,30.737689
兴盛世家A区,residential,商务住宅;住宅区;住宅小区,金牛区,104.007983,30.733503
府河星城名苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.023451,30.733075
兴盛村,residential,商务住宅;住宅区;住宅小区,金牛区,104.019136,30.732914
兴盛世家E区,residential,商务住宅;住宅区;住宅小区,金牛区,104.014916,30.731519
兴盛家园,residential,商务住宅;住宅区;住宅小区,金牛区,104.014736,30.733359
府河星城,residential,商务住宅;住宅区;住宅小区,金牛区,104.023144,30.731009
府河丽景,residential,商务住宅;住宅区;住宅小区,金牛区,104.020946,30.73309
府河星城名苑B区,residential,商务住宅;住宅区;住宅小区,金牛区,104.025515,30.733099
府河星城馨苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.027235,30.731058
厍庭,residential,商务住宅;住宅区;住宅小区,金牛区,104.026617,30.733944
欢乐城198,residential,商务住宅;住宅区;住宅小区,金牛区,104.041886,30.736599
踏水新居,residential,商务住宅;住宅区;住宅小区,金牛区,104.040974,30.737925
华侨城原岸,residential,商务住宅;住宅区;住宅小区,金牛区,104.041185,30.72974
华侨城5期,residential,商务住宅;住宅区;住宅区,金牛区,104.043537,30.730045
华侨城东岸,residential,商务住宅;住宅区;住宅区,金牛区,104.041907,30.730159
府河·双桥苑,residential,商务住宅;住宅区;住宅小区,金牛区,104.040576,30.73883
成都华侨城·东岸A2区,residential,商务住宅;住宅区;住宅区,金牛区,104.036378,30.730236
华侨城·原岸6期,residential,商务住宅;住宅区;住宅小区,金牛区,104.043984,30.731469
成都市沙河源社区,residential,商务住宅;住宅区;住宅小区,金牛区,104.051514,30.735183
沙河原社区,residential,商务住宅;住宅区;住宅小区,金牛区,104.051514,30.735183
沙河源街道川建社区,residential,商务住宅;住宅区;住宅小区,金牛区,104.051375,30.734149
沙河源街道川建社区(西南门),residential,商务住宅;住宅区;住宅小区,金牛区,104.050525,30.732775
泉水人家,residential,商务住宅;住宅区;住宅小区,金牛区,104.057722,30.731724
泉水人家3期A区,residential,商务住宅;住宅区;住宅小区,金牛区,104.057646,30.734097
泉水人家3期B区,residential,商务住宅;住宅区;住宅小区,金牛区,104.061001,30.734015
腌卤巷,residential,商务住宅;住宅区;住宅小区,金牛区,104.058503,30.733116
泉水人家2期A区,residential,商务住宅;住宅区;住宅小区,金牛区,104.058289,30.729679
泉水人家3期,residential,商务住宅;住宅区;住宅区,金牛区,104.059682,30.734236
