name,category,type,district,wgs_lng,wgs_lat
谭木匠,shopping,购物服务;专卖店;专营店,金牛区,103.97306,30.732746
小蓓星母婴生活馆,shopping,购物服务;专卖店;儿童用品店,金牛区,103.973591,30.733981
状元书吧(书香府邸东),shopping,购物服务;专卖店;书店,金牛区,103.977754,30.734502
彭州无公害蔬菜直销店(百草路东),shopping,购物服务;综合市场;蔬菜市场,金牛区,103.978078,30.733648
异星萌宠,shopping,购物服务;专卖店;宠物用品店,金牛区,103.978252,30.733436
出售打夯机鸡公吊吊篮脚手架,shopping,购物服务;购物相关场所;购物相关场所,金牛区,103.98042,30.732593
友友超市(金粮路),shopping,购物服务;便民商店/便利店;便民商店/便利店,金牛区,103.98129,30.73226
鲜源蔬果,shopping,购物服务;购物相关场所;购物相关场所,金牛区,103.974904,30.734591
天赐宝贝母婴生活馆(天目店),shopping,购物服务;专卖店;儿童用品店,金牛区,103.974912,30.734349
北漂鱼孕婴童(天目店),shopping,购物服务;专卖店;儿童用品店,金牛区,103.974822,30.734245
上海正宗貂绒羊绒羊毛衫,shopping,购物服务;购物相关场所;购物相关场所,金牛区,103.982142,30.732738
三寿果蔬店,shopping,购物服务;综合市场;综合市场,金牛区,103.97485,30.734093
鲜源副食超市,shopping,购物服务;便民商店/便利店;便民商店/便利店,金牛区,103.974827,30.734253
大蜗牛西服定制裁缝店,shopping,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,金牛区,103.974842,30.734119
精典生活超市,shopping,购物服务;便民商店/便利店;便民商店/便利店,金牛区,103.974854,30.733874
家佳百货·果蔬店,shopping,购物服务;综合市场;果品市场,金牛区,103.974758,30.734145
家佳百货·果蔬店,shopping,购物服务;综合市场;果品市场,金牛区,103.974758,30.734145
英伦超市(英伦店),shopping,购物服务;便民商店/便利店;便民商店/便利店,金牛区,103.974625,30.733882
视佳眼镜(天目路),shopping,购物服务;专卖店;眼镜店,金牛区,103.974468,30.733749
爱亲母婴专卖店(天目路),shopping,购物服务;专卖店;儿童用品店,金牛区,103.974164,30.73417
小贵族,shopping,购物服务;专卖店;儿童用品店,金牛区,103.974092,30.733775
么么生活超市(高新店),shopping,购物服务;便民商店/便利店;便民商店/便利店,金牛区,103.974173,30.733441
007Chain超市(天目店),shopping,购物服务;超级市场;超市,金牛区,103.977927,30.73426
聚点超市(塔米亚店),shopping,购物服务;超级市场;超市,金牛区,103.991996,30.731411
华亿购物超市(派克公馆店),shopping,购物服务;超级市场;超市,金牛区,103.991704,30.730661
郫县友富贵副食超市,shopping,购物服务;便民商店/便利店;便民商店/便利店,金牛区,103.991409,30.730473
卡奇乐益智乐园(派克店),shopping,购物服务;专卖店;儿童用品店,金牛区,103.991255,30.73035
优品鲜果蔬店,shopping,购物服务;综合市场;农副产品市场,金牛区,103.992067,30.73108
顺风三轮车厂,shopping,购物服务;购物相关场所;购物相关场所,金牛区,104.000346,30.733526
农药肥料种子,shopping,购物服务;购物相关场所;购物相关场所,金牛区,104.00028,30.73327
豪佳石业,shopping,购物服务;购物相关场所;购物相关场所,金牛区,103.996208,30.734844
鸿进石材,shopping,购物服务;购物相关场所;购物相关场所,金牛区,104.001117,30.735422
福建磊辉石业,shopping,购物服务;购物相关场所;购物相关场所,金牛区,104.002185,30.732426
坤鑫石业,shopping,购物服务;购物相关场所;购物相关场所,金牛区,104.002185,30.732426
