name,category,type,district,wgs_lng,wgs_lat
卡奇乐儿童益智乐园,sports,体育休闲服务;休闲场所;游乐场,金牛区,103.97358,30.734008
高新皇冠假日酒店水之韵酒吧,sports,体育休闲服务;娱乐场所;酒吧,金牛区,103.971384,30.73096
成都高新皇冠假日酒店-棋牌室,sports,体育休闲服务;娱乐场所;棋牌室,金牛区,103.971674,30.731028
红鹤园,sports,体育休闲服务;度假疗养场所;疗养院,金牛区,103.998201,30.732153
欣悦网吧(全兴路),sports,体育休闲服务;娱乐场所;网吧,金牛区,104.001292,30.736057
秘地KTV,sports,体育休闲服务;娱乐场所;KTV,金牛区,104.007273,30.738628
动感地带网络会所(盛兴路),sports,体育休闲服务;娱乐场所;网吧,金牛区,104.008024,30.733714
英豪搏击,sports,体育休闲服务;运动场馆;运动场所,金牛区,104.013217,30.732232
光年网咖(动感地带店),sports,体育休闲服务;娱乐场所;网吧,金牛区,104.00813,30.733381
云云网吧(盛兴路),sports,体育休闲服务;娱乐场所;网吧,金牛区,104.010823,30.733678
沙西佳园,sports,体育休闲服务;休闲场所;休闲场所,金牛区,104.011655,30.739462
西华街道兴盛世家社区老年活动中心,sports,体育休闲服务;休闲场所;休闲场所,金牛区,104.007401,30.734417
情深网吧(盛兴路),sports,体育休闲服务;娱乐场所;网吧,金牛区,104.014355,30.73553
荷花山庄(西门),sports,通行设施;临街院门;临街院门|体育休闲服务;休闲场所;休闲场所,金牛区,104.015649,30.73944
金牛西华欢乐谷,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.026438,30.732206
上河居度假村(府河静园南),sports,体育休闲服务;度假疗养场所;度假村,金牛区,104.028446,30.734202
蓝客车网络会所,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,金牛区,104.026436,30.733226
社稷网咖,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.029267,30.73175
府河新居社区日间照料中心,sports,体育休闲服务;度假疗养场所;疗养院,金牛区,104.029196,30.730391
星城网络会所,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.026724,30.733188
灯火阑珊网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.024245,30.731237
时空引擎网吧连锁,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.033289,30.73804
梵之旅瑜伽(府河星城店),sports,体育休闲服务;运动场馆;健身中心,金牛区,104.024484,30.731375
上善道馆(上善道馆府河店),sports,体育休闲服务;运动场馆;健身中心,金牛区,104.02884,30.730341
迷尚虫虫叮网络(府河星城店),sports,体育休闲服务;娱乐场所;网吧,金牛区,104.026058,30.732803
靖地度假俱乐部,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,金牛区,104.037552,30.738435
省建二公司老年活动中心,sports,体育休闲服务;休闲场所;休闲场所,金牛区,104.041023,30.732602
必好情苑网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.041218,30.739064
丽泉休闲庄,sports,住宿服务;宾馆酒店;宾馆酒店|体育休闲服务;休闲场所;休闲场所,金牛区,104.059623,30.733092
天美网吧(嘉源店),sports,体育休闲服务;娱乐场所;网吧,金牛区,104.056103,30.733848
七鑫网咖,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.059628,30.733071
泉水叮当网络驿站,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.057005,30.730707
专业施工运动场地,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,金牛区,104.062261,30.737211
七鑫网络会所,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.059551,30.733098
哆啦6号KTV娱乐会所,sports,体育休闲服务;娱乐场所;KTV,金牛区,104.059625,30.733165
金牛区老年协会枯丰园活动中心,sports,体育休闲服务;娱乐场所;娱乐场所,金牛区,104.075728,30.732797
四川省总工会成都工人疗养院,sports,体育休闲服务;度假疗养场所;疗养院,成华区,104.111987,30.731123
海韵网吧(蜀陵路),sports,体育休闲服务;娱乐场所;网吧,成华区,104.109807,30.731109
艾特网吧(蓉都大道将军碑路辅路),sports,体育休闲服务;娱乐场所;网吧,金牛区,104.107482,30.731967
钟哥麻将馆,sports,体育休闲服务;娱乐场所;棋牌室,金牛区,104.107882,30.735448
四川道盟跆拳道成都馆,sports,体育休闲服务;运动场馆;运动场所,成华区,104.11592,30.73325
遐龄居颐养园,sports,体育休闲服务;度假疗养场所;疗养院,成华区,104.138547,30.734649
陈氏太极馆,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,成华区,104.138281,30.734757
成都大熊猫繁育研究基地熊猫魅力剧场,sports,风景名胜;风景名胜;国家级景点|体育休闲服务;影剧院;剧场,成华区,104.140212,30.738079
精英团真人cs,sports,体育休闲服务;休闲场所;休闲场所,金牛区,103.968793,30.721638
成都精英团野外拓展训练俱乐部,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,金牛区,103.968395,30.719903
天乾健身(中海店),sports,体育休闲服务;运动场馆;健身中心,金牛区,103.974582,30.721878
麦田量贩KTV(中海店),sports,体育休闲服务;娱乐场所;KTV,金牛区,103.976675,30.726281
太平洋影城(蜀西店),sports,体育休闲服务;影剧院;电影院,金牛区,103.976948,30.72492
成都007足球俱乐部,sports,体育休闲服务;运动场馆;足球场,金牛区,103.98181,30.723264
灯光足球场,sports,体育休闲服务;运动场馆;足球场,金牛区,103.977758,30.72518
MU Pub,sports,体育休闲服务;娱乐场所;酒吧,金牛区,103.976528,30.726129
崇孝养老机构(汇川街),sports,体育休闲服务;度假疗养场所;疗养院,金牛区,103.977348,30.724058
谁家酒吧,sports,体育休闲服务;娱乐场所;酒吧,金牛区,103.977551,30.724578
动力核心,sports,体育休闲服务;运动场馆;运动场所,金牛区,103.977396,30.725457
开元盛世网络会所,sports,体育休闲服务;娱乐场所;网吧,金牛区,103.977302,30.725268
公元网络会所(开元盛世店),sports,体育休闲服务;娱乐场所;网吧,金牛区,103.97719,30.725076
清韵瑜伽舞蹈会所,sports,体育休闲服务;运动场馆;健身中心,金牛区,103.979966,30.722899
婵院瑜伽(中海国际店),sports,体育休闲服务;运动场馆;健身中心,金牛区,103.976594,30.724115
mnpub酒吧,sports,体育休闲服务;娱乐场所;酒吧,金牛区,103.976388,30.726227
Body Boom,sports,体育休闲服务;运动场馆;健身中心,金牛区,103.978781,30.723838
净鑫高温瑜伽会馆,sports,体育休闲服务;运动场馆;健身中心,金牛区,103.979499,30.722921
圣元网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,103.977466,30.724803
雪域缘网咖,sports,体育休闲服务;娱乐场所;网吧,金牛区,103.977927,30.724155
真人野战CS,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,金牛区,103.979462,30.724605
动力雄健身房(中海店),sports,体育休闲服务;运动场馆;健身中心,金牛区,103.978801,30.723855
海帆亲子游泳俱乐部(中海国际店),sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,金牛区,103.9788,30.723888
